
変数情報		
変数	位置	ラベル
idnfrj	1	ID
idpanel	2	パネルNO.
mecrno09	3	w1-調査員No.
medsmp	4	w1-使用台帳区別
mersmp	5	w1-正規・予備区別
metps09	6	w1-回収方法
acpanel	7	w1-パネル応諾結果
mecrno13	8	w5-調査員No.
metps13	9	w5-回収方法
mecplc10	10	w2-住所変更連絡の有無
mecplc11	11	w3-住所変更連絡の有無
mecplc12	12	w4-住所変更連絡の有無
mecplc13	13	w5-住所変更連絡の有無
mersp10	14	w2-回収状況
mersp11	15	w3-回収状況
mersp12	16	w4-回収状況
mersp13	17	w5-回収状況
metpq09	18	w1-調査票別
rppref09	19	w1-県コード
rpctsz09	20	w1-都市規模
rpdid09	21	w1-ＤＩＤ
rpsex09	22	w1-問１．性別
rpbtyr09	23	w1-問２．生年月（年）
rpbtmt09	24	w1-問２．生年月（月）
rpage09	25	w1-問２．年齢
rpedc	26	w1-問３（１）．学歴
rpgtgg	27	w1-問３（２）．卒業時期（元号）
rpgtyr	28	w1-問３（２）．卒業時期（年）
rpgtmt	29	w1-問３（２）．卒業時期（月）
rpgtag	30	w1-問３（２）．卒業時期（年齢）
rpexlp	31	w1-問４．１年以上親と離れて暮らした経験若年壮年
rpltgg	32	w1-問４付問１．１年以上親と離れて暮らした時期若年壮年（元号）
rpltyr	33	w1-問４付問１．１年以上親と離れて暮らした時期若年壮年（年）
rpltmt	34	w1-問４付問１．１年以上親と離れて暮らした時期若年壮年（月）
rpltag	35	w1-問４付問１．１年以上親と離れて暮らした時期若年壮年（歳）
rprslp	36	w1-問４付問２．１年以上親と離れて暮らしたきっかけ若年壮年
rpwkst09	37	w1-問５．就業状況
rpest09	38	w1-問５付問１．就業形態
rpocc	39	w1-問５付問２．職種
rpfsz	40	w1-問５付問３．会社の規模
rpestx	41	w1-問５付問１．過去職の就業形態
rpoccx	42	w1-問５付問２．過去職の職種
rpfszx	43	w1-問５付問３．過去職の会社の規模
rpwkdy09	44	w1-問５付問４．１カ月の労働日数若年壮年
rpwkhr09	45	w1-問５付問５．１日の平均労働時間若年壮年（時間）
rpwkmi09	46	w1-問５付問５．１日の平均労働時間若年壮年（分）
rpcmhr	47	w1-問５付問６．平均通勤時間若年壮年（時間）
rpcmmi	48	w1-問５付問６．平均通勤時間若年壮年（分）
rpwlb109	49	w1-問５付問７．仕事と家族の関係若年壮年（ア）仕事が原因で家族と一緒にすごす時間が十分とれないでいる
rpwlb209	50	w1-問５付問７．仕事と家族の関係若年壮年（イ）家にいても仕事のことが気になってしかたがないことがある
rpwlb309	51	w1-問５付問７．仕事と家族の関係若年壮年（ウ）家族のあれやこれやで思うように仕事に時間を配分できない
rpwlb409	52	w1-問５付問７．仕事と家族の関係若年壮年（エ）家事や育児で疲れてしまい、仕事をやろうという気持ちになれない
rpetgg	53	w1-問４付問４．初めてついた仕事高年（１）時期（元号）
rpetyr	54	w1-問４付問４．初めてついた仕事高年（１）時期（年）
rpetmt	55	w1-問４付問４．初めてついた仕事高年（１）時期（月）
rpetag	56	w1-問４付問４．初めてついた仕事高年（１）時期（歳）
rpeest	57	w1-問４付問４．初めてついた仕事高年（２）就業形態
rpeocc	58	w1-問４付問４．初めてついた仕事高年（３）職種
rpefsz	59	w1-問４付問４．初めてついた仕事高年（４）会社の規模
rpyinc09	60	w1-問６．本人年収
rpmrst09	61	w1-問７．配偶者（つれあい）の有無
rpmtgg09	62	w1-問７付問１．結婚時期（元号）
rpmtyr09	63	w1-問７付問１．結婚時期（年）
rpmtmt09	64	w1-問７付問１．結婚時期（月）
rpmtag09	65	w1-問７付問１．結婚時期（歳）
rpmcju09	66	w1-問７付問２．結婚後の就業状況若年壮年（仕事はしていなかった）
rpmcjq09	67	w1-問７付問２．結婚後の就業状況若年壮年（仕事をやめた）
rpmcjb09	68	w1-問７付問２．結婚後の就業状況若年壮年（転職した）
rpmcjw09	69	w1-問７付問２．結婚後の就業状況若年壮年（同じ職場内での変化）
rpmcjn09	70	w1-問７付問２．結婚後の就業状況若年壮年（変化なし）
rpmcjo09	71	w1-問７付問２．結婚後の就業状況若年壮年（その他）
spbtgg	72	w1-問７付問３．配偶者の生年月（元号）
spbtyr	73	w1-問７付問３．配偶者の生年月（年）
spbtmt	74	w1-問７付問３．配偶者の生年月（月）
spbtag	75	w1-問７付問３．配偶者の生年月（歳）
spnlob	76	w1-問７付問４．配偶者の兄（健在）
spndob	77	w1-問７付問４．配偶者の兄（死亡）
spnlos	78	w1-問７付問４．配偶者の姉（健在）
spndos	79	w1-問７付問４．配偶者の姉（死亡）
spnlyb	80	w1-問７付問４．配偶者の弟（健在）
spndyb	81	w1-問７付問４．配偶者の弟（死亡）
spnlys	82	w1-問７付問４．配偶者の妹（健在）
spndys	83	w1-問７付問４．配偶者の妹（死亡）
spexdw	84	w1-問７付問５．結婚相手との離別や死別の経験（配偶者）
spedc	85	w1-問７付問６．配偶者の学歴
spwkst09	86	w1-問７付問７．配偶者の就業状況
spest09	87	w1-問７付問８．配偶者の就業形態
spocc	88	w1-問７付問９．配偶者の職種
spfsz	89	w1-問７付問１０．配偶者の会社の規模
spestx	90	w1-問７付問８．配偶者の過去職の就業形態
spoccx	91	w1-問７付問９．配偶者の過去職の職種
spfszx	92	w1-問７付問１０．配偶者の過去職の会社の規模
spwkdy09	93	w1-問７付問１１．配偶者の１カ月の労働日数若年壮年
spwkhr09	94	w1-問７付問１２．配偶者の１日の平均労働時間若年壮年（時間）
spwkmi09	95	w1-問７付問１２．配偶者の１日の平均労働時間若年壮年（分）
spcmhr	96	w1-問７付問１３．配偶者の通勤時間（時間）
spcmmi	97	w1-問７付問１３．配偶者の通勤時間（分）
spyinc09	98	w1-問７付問１４．配偶者の年収
sphlth09	99	w1-問７付問１５．配偶者の健康状態
spcvwd09	100	w1-問７付問１６．配偶者との会話（ア）平日
spcvwe09	101	w1-問７付問１６．配偶者との会話（イ）休日
spus109	102	w1-問７付問１７．夫婦間にあてはまること（ア）配偶者は、わたしの心配ごとや悩みごとを聞いてくれる
spus209	103	w1-問７付問１７．夫婦間にあてはまること（イ）配偶者は、わたしの能力や努力を高く評価してくれる
spus309	104	w1-問７付問１７．夫婦間にあてはまること（ウ）配偶者は、わたしに助言やアドバイスをしてくれる
rphhw109	105	w1-問７付問１８．家事についてあなた（ア）「食事の用意」は
rphhw209	106	w1-問７付問１８．家事についてあなた（イ）「食事のあとかたづけ」は
rphhw309	107	w1-問７付問１８．家事についてあなた（ウ）食料品や日用品の買い物」は
rphhw409	108	w1-問７付問１８．家事についてあなた（エ）「洗濯」は
rphhw509	109	w1-問７付問１８．家事についてあなた（オ）「そうじ（部屋、風呂、トイレなど）」は
rphhw6	110	w1-問７付問１８．家事についてあなた若年（カ）「子どもと遊ぶこと」は
rphhw7	111	w1-問７付問１８．家事についてあなた若年（キ）「子どもの身の回りの世話」は
sphhw109	112	w1-問７付問１８．家事について配偶者（ア）「食事の用意」は
sphhw209	113	w1-問７付問１８．家事について配偶者（イ）「食事のあとかたづけ」は
sphhw309	114	w1-問７付問１８．家事について配偶者（ウ）「食料品や日用品の買い物」は
sphhw409	115	w1-問７付問１８．家事について配偶者（エ）「洗濯」は
sphhw509	116	w1-問７付問１８．家事について配偶者（オ）「そうじ（部屋、風呂、トイレなど）」は
sphhw6	117	w1-問７付問１８．家事について配偶者若年（カ）「子どもと遊ぶこと」は
sphhw7	118	w1-問７付問１８．家事について配偶者若年（キ）「子どもの身の回りの世話」は
rpsts109	119	w1-問７付問１９．結婚生活における満足度（ア）子育てに対する、配偶者の取り組み方について
rpsts209	120	w1-問７付問１９．結婚生活における満足度（イ）家事に対する、配偶者の取り組み方について
rpsts309	121	w1-問７付問１９．結婚生活における満足度（ウ）性生活について
rpsts409	122	w1-問７付問１９．結婚生活における満足度（エ）夫婦関係全体について
spfm	123	w1-問７付問２０．配偶者は「家族の一員」だと思うか
rpexdw	124	w1-問７付問２１．結婚相手との離別や死別の経験（あなた）
rpm1gg	125	w1-問７付問２２．初めて結婚した時期（元号）
rpm1yr	126	w1-問７付問２２．初めて結婚した時期（年）
rpm1mt	127	w1-問７付問２２．初めて結婚した時期（月）
rpm1ag	128	w1-問７付問２２．初めて結婚した時期（歳）
rpwtmr09	129	w1-問７付問２３．今後の結婚意向
rpcpl09	130	w1-問７付問２４．交際相手や婚約者の有無若年
rpafm109	131	w1-問８．家族観についての意見（ア）男性は外で働き、女性は家庭を守るべきである
rpafm209	132	w1-問８．家族観についての意見（イ）子どもが３歳くらいまでは、母親は仕事を持たず育児に専念すべきだ
rpafm309	133	w1-問８．家族観についての意見（ウ）家庭を（経済的に）養うのは男性の役割だ
rpafm409	134	w1-問８．家族観についての意見（エ）夫婦は、お互いの同意があれば、入籍しなくてもかまわない
rpafm509	135	w1-問８．家族観についての意見（オ）結婚しても、必ずしも子どもをもつ必要はない
rpafm609	136	w1-問８．家族観についての意見（カ）結婚しても、相手に満足できないときは離婚すればよい
rpafm709	137	w1-問８．家族観についての意見（キ）親が年をとって、自分たちだけでは暮らしていけなくなったら、子どもは親と同居すべきだ
rpafm809	138	w1-問８．家族観についての意見（ク）年をとって収入がなくなった親を扶養するのは、子どもの責任だ
rpafm909	139	w1-問８．家族観についての意見（ケ）親が寝たきりなどになった時、子どもが介護するのは当たり前のことだ
rpflw109	140	w1-問９．からだや心の状態（ア）ふだんは何でもないことをわずらわしいと感じたこと
rpflw209	141	w1-問９．からだや心の状態（イ）家族や友達から励ましてもらっても気分が晴れないこと
rpflw309	142	w1-問９．からだや心の状態（ウ）憂うつだと感じだこと
