Country,Year,Value
Korea,2005,39.6
Korea,2006,39.8
Korea,2007,38.2
Korea,2008,39
Korea,2009,38.6
Korea,2010,39.6
Korea,2011,36.6
Korea,2012,36.3
Korea,2013,36.6
Korea,2014,36.7
Korea,2015,37.2
Korea,2016,36.7
Korea,2017,34.6
Korea,2018,34.1
Korea,2019,32.5
Korea,2020,31.5
Spain,2006,13.5
Spain,2010,13.5
Spain,2014,11.5
Spain,2018,8.6
Belgium,2005,11.5
Belgium,2006,10.3
Belgium,2007,9.9
Belgium,2008,8.9
Belgium,2009,7.5
Belgium,2010,7
Belgium,2011,5.8
Belgium,2012,6.4
Belgium,2013,5.9
Belgium,2014,3.3
Belgium,2015,4.7
Belgium,2016,3.7
Belgium,2017,4.2
Belgium,2018,3.4
Poland,2006,11.4
Poland,2008,13
Poland,2010,7.2
Poland,2012,10.6
Poland,2014,11.1
Poland,2016,9.4
Poland,2018,11.5
Netherlands,2006,16
Netherlands,2010,17.9
Netherlands,2014,15.3
Netherlands,2018,12.7
Germany,2005,16.3
Germany,2006,18.1
Germany,2007,16.7
Germany,2008,16.7
Germany,2009,16.5
Germany,2010,16.7
Germany,2011,16.9
Germany,2012,15.6
Germany,2013,14.1
Germany,2014,17.2
Germany,2015,15.8
Germany,2016,15.5
Germany,2017,16.2
Germany,2018,15.3
Germany,2019,13.9
Denmark,2005,10.2
Denmark,2006,10.2
Denmark,2007,9.9
Denmark,2008,10.2
Denmark,2009,10.2
Denmark,2010,8.9
Denmark,2011,7.9
Denmark,2012,7
Denmark,2013,6.8
Denmark,2014,6.3
Denmark,2015,5.8
Denmark,2016,5.7
Denmark,2017,5.3
Denmark,2018,4.9
Denmark,2019,5.1
Czech Republic,2005,15.9
Czech Republic,2006,15.4
Czech Republic,2007,16.9
Czech Republic,2008,17.9
Czech Republic,2009,15.1
Czech Republic,2010,15.8
Czech Republic,2011,16.3
Czech Republic,2012,15.3
Czech Republic,2013,15.4
Czech Republic,2014,16.3
Czech Republic,2015,16.5
Czech Republic,2016,16
Czech Republic,2017,15.6
Czech Republic,2018,15.1
Czech Republic,2019,14.7
