Country,Year,Value
Turkey,2003,7.1
Turkey,2004,9.2
Turkey,2005,9.5
Turkey,2006,9.2
Turkey,2007,9.1
Turkey,2008,9
Turkey,2009,8.2
Turkey,2010,8
Turkey,2011,8
Turkey,2012,8
Turkey,2013,7.9
Turkey,2014,7.8
Turkey,2015,7.7
Turkey,2016,7.5
Turkey,2017,7.1
Turkey,2018,6.8
Turkey,2019,6.6
Japan,1990,5.9
Japan,1991,6
Japan,1992,6.1
Japan,1993,6.4
Japan,1994,6.3
Japan,1995,6.4
Japan,1996,6.4
Japan,1997,6.2
Japan,1998,6.3
Japan,1999,6.1
Japan,2000,6.4
Japan,2001,6.4
Japan,2002,6
Japan,2003,5.9
Japan,2004,5.7
Japan,2005,5.7
Japan,2006,5.8
Japan,2007,5.7
Japan,2008,5.8
Japan,2009,5.6
Japan,2010,5.5
Japan,2011,5.2
Japan,2012,5.3
Japan,2013,5.3
Japan,2014,5.1
Japan,2015,5.1
Japan,2016,5
Japan,2017,4.9
Japan,2018,4.7
Japan,2019,4.8
Germany,1990,6.5
Germany,1991,5.7
Germany,1992,5.6
Germany,1993,5.5
Germany,1994,5.4
Germany,1995,5.3
Germany,1996,5.2
Germany,1997,5.2
Germany,1998,5.1
Germany,1999,5.2
Germany,2000,5.1
Germany,2001,4.7
Germany,2002,4.6
Germany,2003,4.6
Germany,2004,4.8
Germany,2005,4.7
Germany,2006,4.5
Germany,2007,4.5
Germany,2008,4.6
Germany,2009,4.6
Germany,2010,4.7
Germany,2011,4.6
Germany,2012,4.8
Germany,2013,4.6
Germany,2014,4.8
Germany,2015,4.9
Germany,2016,5
Germany,2017,4.9
Germany,2018,5.4
Germany,2019,5
Denmark,1990,6.1
Denmark,1991,6
Denmark,1992,6.2
Denmark,1993,6.1
Denmark,1994,6.8
Denmark,1995,6.6
Denmark,1996,6.8
Denmark,1997,6.5
Denmark,1998,6.5
Denmark,1999,6.7
Denmark,2000,7.2
Denmark,2001,6.8
Denmark,2002,6.9
Denmark,2003,6.5
Denmark,2004,7
Denmark,2005,6.7
Denmark,2006,6.7
Denmark,2007,6.7
Denmark,2008,6.8
Denmark,2009,6
Denmark,2010,5.6
Denmark,2011,4.9
Denmark,2012,5.1
Denmark,2013,4.9
Denmark,2014,5
Denmark,2015,5.1
Denmark,2016,5.4
Denmark,2017,5.5
Denmark,2018,5.6
Denmark,2019,5.3
Czech Republic,1990,8.8
Czech Republic,1991,7
Czech Republic,1992,7.2
Czech Republic,1993,6.4
Czech Republic,1994,5.7
Czech Republic,1995,5.3
Czech Republic,1996,5.2
Czech Republic,1997,5.6
Czech Republic,1998,5.3
Czech Republic,1999,5.2
Czech Republic,2000,5.4
Czech Republic,2001,5.1
Czech Republic,2002,5.2
Czech Republic,2003,4.8
Czech Republic,2004,5
Czech Republic,2005,5.1
Czech Republic,2006,5.2
Czech Republic,2007,5.5
Czech Republic,2008,5.1
Czech Republic,2009,4.6
Czech Republic,2010,4.5
Czech Republic,2011,4.3
Czech Republic,2012,4.3
Czech Republic,2013,4.1
Czech Republic,2014,4.3
Czech Republic,2015,4.6
Czech Republic,2016,4.8
Czech Republic,2017,5
Czech Republic,2018,5.1
Czech Republic,2019,5.1
Slovak Republic,1990,7.6
Slovak Republic,1991,6.2
Slovak Republic,1992,6.4
Slovak Republic,1993,5.8
Slovak Republic,1994,5.3
Slovak Republic,1995,5.1
Slovak Republic,1996,5.1
Slovak Republic,1997,5.2
Slovak Republic,1998,5.1
Slovak Republic,1999,5.1
Slovak Republic,2000,4.8
Slovak Republic,2001,4.4
Slovak Republic,2002,4.7
Slovak Republic,2003,4.8
Slovak Republic,2004,5.2
Slovak Republic,2005,4.9
Slovak Republic,2006,4.8
Slovak Republic,2007,5.1
Slovak Republic,2008,5.3
Slovak Republic,2009,4.9
Slovak Republic,2010,4.7
Slovak Republic,2011,4.7
Slovak Republic,2012,4.8
Slovak Republic,2013,4.7
Slovak Republic,2014,4.9
Slovak Republic,2015,5.3
Slovak Republic,2016,5.5
Slovak Republic,2017,5.8
Slovak Republic,2018,5.7
Slovak Republic,2019,5.4
Estonia,1990,7.5
Estonia,1991,6.6
Estonia,1992,5.8
Estonia,1993,5.2
Estonia,1994,5
Estonia,1995,4.9
Estonia,1996,3.9
Estonia,1997,4
Estonia,1998,3.9
Estonia,1999,4
Estonia,2000,3.9
Estonia,2001,4.1
Estonia,2002,4.2
Estonia,2003,4.2
Estonia,2004,4.4
Estonia,2005,4.5
Estonia,2006,5.2
Estonia,2007,5.2
Estonia,2008,4.6
Estonia,2009,4
Estonia,2010,3.8
Estonia,2011,4.1
Estonia,2012,4.5
Estonia,2013,4.3
Estonia,2014,4.7
Estonia,2015,5.2
Estonia,2016,4.8
Estonia,2017,4.9
Estonia,2018,5
Estonia,2019,5
Austria,1990,5.9
Austria,1991,5.7
Austria,1992,5.8
Austria,1993,5.7
Austria,1994,5.5
Austria,1995,5.4
Austria,1996,5.3
Austria,1997,5.2
Austria,1998,4.9
Austria,1999,4.9
Austria,2000,4.9
Austria,2001,4.3
Austria,2002,4.5
Austria,2003,4.6
Austria,2004,4.7
Austria,2005,4.8
Austria,2006,4.5
Austria,2007,4.3
Austria,2008,4.2
Austria,2009,4.3
Austria,2010,4.5
Austria,2011,4.3
Austria,2012,4.6
Austria,2013,4.3
Austria,2014,4.4
Austria,2015,5.1
Austria,2016,5.1
Austria,2017,5.1
Austria,2018,5.3
Austria,2019,5.2
Hungary,1990,6.4
Hungary,1991,5.9
Hungary,1992,5.5
Hungary,1993,5.2
Hungary,1994,5.2
Hungary,1995,5.2
Hungary,1996,4.7
Hungary,1997,4.6
Hungary,1998,4.4
Hungary,1999,4.4
Hungary,2000,4.7
Hungary,2001,4.3
Hungary,2002,4.5
Hungary,2003,4.5
Hungary,2004,4.3
Hungary,2005,4.4
Hungary,2006,4.4
Hungary,2007,4.1
Hungary,2008,4
Hungary,2009,3.7
Hungary,2010,3.6
Hungary,2011,3.6
Hungary,2012,3.6
Hungary,2013,3.7
Hungary,2014,3.9
Hungary,2015,4.7
Hungary,2016,5.3
Hungary,2017,5.2
Hungary,2018,5.2
Hungary,2019,6.7
Lithuania,1990,9.8
Lithuania,1991,9.2
Lithuania,1992,8.1
Lithuania,1993,6.4
Lithuania,1994,6.4
Lithuania,1995,6.1
Lithuania,1996,5.7
Lithuania,1997,5.3
Lithuania,1998,5.2
Lithuania,1999,5.1
Lithuania,2000,4.8
Lithuania,2001,4.5
Lithuania,2002,4.7
Lithuania,2003,5
Lithuania,2004,5.7
Lithuania,2005,6
Lithuania,2006,6.5
Lithuania,2007,7.1
Lithuania,2008,7.5
Lithuania,2009,6.5
Lithuania,2010,6
Lithuania,2011,6.3
Lithuania,2012,6.9
Lithuania,2013,6.9
Lithuania,2014,7.6
Lithuania,2015,7.6
Lithuania,2016,7.4
Lithuania,2017,7.5
Lithuania,2018,7
Lithuania,2019,7
United Kingdom,1990,6.6
United Kingdom,1991,6.1
United Kingdom,1992,6.2
United Kingdom,1993,5.9
United Kingdom,1994,5.7
United Kingdom,1995,5.6
United Kingdom,1996,5.5
United Kingdom,1997,5.3
United Kingdom,1998,5.2
United Kingdom,1999,5.1
United Kingdom,2000,5.2
United Kingdom,2001,4.8
United Kingdom,2002,4.9
United Kingdom,2003,5.2
United Kingdom,2007,4.5
United Kingdom,2008,4.4
United Kingdom,2009,4.3
United Kingdom,2010,4.5
United Kingdom,2011,4.5
United Kingdom,2013,4.3
United Kingdom,2014,4.5
United Kingdom,2015,4.4
United Kingdom,2016,4.4
Italy,1990,5.6
Italy,1991,5.5
Italy,1992,5.5
Italy,1993,5.3
Italy,1994,5.1
