

変数情報			
変数	位置	ラベル	欠損値
id	1	<なし>	
妻の回答	2	妻（母親）の回答の有無	
夫の回答	3	夫（父親）の回答の有無	
回答子	4	回答した子どもの年長順（第何子）	
就学状況	5	回答した子どもの就学状況	
妻就業	6	妻（母親）の職業	
q1	7	子ども部屋の有無	
q1.1_1	8	部屋にあるもの：テレビ・ビデオ	
q1.1_2	9	部屋にあるもの：CD・MDラジカセなど	
q1.1_3	10	部屋にあるもの：電話や電話の子機	
q1.1_4	11	部屋にあるもの：パソコン・ファミコン	
q1.1_5	12	部屋にあるもの：机	
q1.1_6	13	部屋にあるもの：その部屋には1〜5はない	
q1.1_n	14	部屋にあるもの：無回答	
q2	15	落ち着いて勉強ができる場所	
q3	16	帰宅時間	
q4	17	帰宅後いっしょに過ごす人	
q5a	18	手伝い頻度：料理	
q5b	19	手伝い頻度：料理の後片付け	
q5c	20	手伝い頻度：掃除	
q5d	21	手伝い頻度：洗濯	
q5e	22	手伝い頻度：きょうだいの世話	
q6a	23	使用頻度：携帯電話	
q6b	24	使用頻度：ポケベル	
q6c	25	使用頻度：ファックス	
q6d	26	使用頻度：電子メール	
q6e	27	使用頻度：インターネット	
q7	28	こづかいの有無	
q7.1a	29	こづかい月額（円）：親からもらう	999999
q7.1b	30	こづかい月額（円）：他の人からもらう	999999
q7.2	31	こづかい額の満足度	
q7.3	32	小遣いをもらうことの意識	
q8_1	33	自由に使えるお金：アルバイト収入	
q8_2	34	自由に使えるお金：お手伝いをして、もらったお金	
q8_3	35	自由に使えるお金：お年玉やお祝いなどでもらったお金	
q8_4	36	自由に使えるお金：その他	
q8_5	37	自由に使えるお金：こづかい以外に自分で自由に使えるお金はない	
q8_n	38	自由に使えるお金：無回答	
q9a	39	お年玉額（円）	9999999
q9b	40	お年玉以外の収入額（円）	9999999
q10_1	41	お金の使い途：食べ物や飲み物	
q10_2	42	お金の使い途：外食	
q10_3	43	お金の使い途：本や雑誌、文房具	
q10_4	44	お金の使い途：洋服や靴、アクセサリーなど	
q10_5	45	お金の使い途：ゲームソフトなどおもちゃ	
q10_6	46	お金の使い途：趣味の道具など	
q10_7	47	お金の使い途：CD、MD、ビデオなどを買う、レンタルする	
q10_8	48	お金の使い途：コンサート・映画	
q10_9	49	お金の使い途：遊び	
q10_10	50	お金の使い途：プレゼント代	
q10_11	51	お金の使い途：電話代など	
q10_12	52	お金の使い途：貯金	
q10_13	53	お金の使い途：その他	
q10_14	54	お金の使い途：自由に使えるお金はない	
q10_n	55	お金の使い途：無回答	
q10.1	56	支出内容を親に聞かれるか	
q11	57	家計状況の認識	
q11.1	58	家計状況の認識方法	
q12	59	平日の朝食をいっしょに食べる人	
q13	60	平日の夕食をいっしょに食べる人	
q14	61	家族と夕食を食べるときの状況	
q15	62	家族そろっての食事の増減意向	
q16	63	父親との会話の程度	
q16.1	64	父親との会話の進め方	
q17	65	父親との会話の増減意向	
q18	66	母親との会話の程度	
q18.1	67	母親との会話の進め方	
q19	68	母親との会話の増減意向	
q20a	69	父方の祖母との接触頻度	
q20b	70	父方の祖父との接触頻度	
q20c	71	母方の祖母との接触頻度	
q20d	72	母方の祖父との接触頻度	
q21a	73	友人数：同じ学校の同学年	999
q21b	74	友人数：同じ学校の別の学年	999
q21c	75	友人数：別の学校に通っている人	999
q22a	76	心配事や悩み事を話せる友人数：同じ学校の同学年	999
q22b	77	心配事や悩み事を話せる友人数：同じ学校の別の学年	999
q22c	78	心配事や悩み事を話せる友人数：別の学校に通っている人	999
q22.1	79	心配事や悩み事を話せる友人数：母親が認知している友人	999
q23a	80	休日レジャーの頻度：父母といっしょ	
q23b	81	休日レジャーの頻度：父といっしょ	
q23c	82	休日レジャーの頻度：母といっしょ	
q23d	83	休日レジャーの頻度：きょうだいといっしょ	
q23e	84	休日レジャーの頻度：自分だけか家族以外の人といっしょ	
q24	85	休日の父への希望	
q25	86	休日の母への希望	
q26a	87	父は心配事や悩みを聞いてくれる	
q26b	88	父は能力や努力をほめてくれる	
q26c	89	父はすることに文句や小言を言う	
q26d	90	父はいろいろと面倒をかける	
q26e	91	父といるとイライラすることがある	
q26f	92	父の心配事や悩みを聞いてあげる	
q26g	93	父をえらいと思う	
q27a	94	母は心配事や悩みを聞いてくれる	
q27b	95	母は能力や努力をほめてくれる	
q27c	96	母はすることに文句や小言を言う	
q27d	97	母はいろいろと面倒をかける	
q27e	98	母といるとイライラすることがある	
q27f	99	母の心配事や悩みを聞いてあげる	
q27g	100	母をえらいと思う	
q28	101	父親との関係の満足度	
q29	102	母親との関係の満足度	
q30	103	母親の就業状況	
q30.1a	104	〈母親が就業〉母は仕事をしているほうがいい	
q30.1b	105	〈母親が就業〉仕事をすることで母が疲れている	
q30.1c	106	〈母親が就業〉仕事をすることで母が生き生きしている	
