
変数情報			
変数	位置	ラベル	欠損値
id	1	<なし>	
妻の回答	2	<なし>	
子の回答	3	子どもの回答の有無	
回答子	4	回答した子どもの年長順（第何子）	
就学状況	5	回答した子どもの就学状況	
妻就業	6	妻の職業	
q1	7	就業形態	
q1.1	8	仕事内容	
q2	9	仕事の満足度	
q3	10	昨年1年間の収入	
q4	11	手紙や日記を落ち着いて書ける場所	
q5	12	帰宅時間	
q6	13	帰宅後から就寝まですごす相手	
q7a	14	使用頻度：携帯電話	
q7b	15	使用頻度：ポケベル	
q7c	16	使用頻度：ファックス	
q7d	17	使用頻度：電子メール	
q7e	18	使用頻度：インターネット	
q8_1	19	情報収集：新聞	
q8_2	20	情報収集：テレビ	
q8_3	21	情報収集：ラジオ	
q8_4	22	情報収集：雑誌	
q8_5	23	情報収集：広告	
q8_6	24	情報収集：書籍	
q8_7	25	情報収集：パソコン	
q8_8	26	情報収集：電話	
q8_9	27	情報収集：携帯電話	
q8_10	28	情報収集：ファックス	
q8_11	29	情報収集：手紙	
q8_12	30	情報収集：家族と顔をあわせて話すこと	
q8_13	31	情報収集：家族以外の人と会って話すこと	
q8_14	32	情報収集：この中にはない	
q8_n	33	情報収集：無回答	
q9_1	34	関心のある事柄：政治・経済状況	
q9_2	35	関心のある事柄：海外の出来事	
q9_3	36	関心のある事柄：地域の出来事	
q9_4	37	関心のある事柄：地球環境	
q9_5	38	関心のある事柄：企業・市場・ビジネス	
q9_6	39	関心のある事柄：流行やトレンド、新製品・新商品	
q9_7	40	関心のある事柄：事件・事故	
q9_8	41	関心のある事柄：ファッション	
q9_9	42	関心のある事柄：食べ物・料理	
q9_10	43	関心のある事柄：学び	
q9_11	44	関心のある事柄：医療・健康	
q9_12	45	関心のある事柄：投資・貯蓄・不動産・住宅	
q9_13	46	関心のある事柄：音楽・スポーツ・映画・演劇	
q9_14	47	関心のある事柄：旅行	
q9_15	48	関心のある事柄：バーゲン・ディスカウント	
q9_16	49	関心のある事柄：飲食店・デパート・専門店	
q9_17	50	関心のある事柄：芸能界・タレント	
q9_18	51	関心のある事柄：この中にはない	
q9_n	52	関心のある事柄：無回答	
q10	53	毎月の手取り収入額	
q10.1	54	自分の収入からの住宅ローン返済の有無	
q10.2	55	妻の定期的な収入の有無	
q11	56	〈妻の収入あり〉夫婦の合計所得に占める自分の収入割合	
q11.1	57	〈妻の収入あり〉自分のために使える割合	
q11.2	58	〈妻の収入あり〉自分のために使える割合を決めた人	
q11.3	59	〈妻の収入あり〉共同の家計のサイフの有無	
q11.4	60	〈妻の収入あり〉手取り収入額のうち妻に渡している割合	
q11.5	61	〈妻の収入あり〉手取り収入額のうち家計の費用に充てている割合	
q11.6	62	〈妻の収入あり〉自分のために使うお金と家計用のお金の区別	
q11.7	63	〈妻の収入あり〉手取り収入額のうちサイフに入れている割合	
q11.8	64	〈妻の収入あり〉共同の家計のサイフに入れる割合を決めた人	
q11.9	65	〈妻の収入あり〉共同の家計のサイフの管理者	
q11.10	66	〈妻の収入あり〉家計のかたちは望ましいか	
q11.11	67	〈妻の収入あり〉家計のかたちを希望した人	
q12	68	〈妻の収入なし〉手取り収入額のうち妻に渡している割合	
q12.1	69	〈妻の収入なし〉お金の渡し方は望ましいかたちか	
q12.2	70	〈妻の収入なし〉お金の渡し方を希望した人	
q12.3	71	〈妻の収入なし〉自分のために使える割合	
q12.4	72	〈妻の収入なし〉自分のために使える割合を決めた人	
q13	73	家庭の収入の満足度	
q14a	74	家庭円満のために、お金の使い途について黙っている	
q14b	75	家族の生活費のために、自分のために使うお金を切り詰める	
q15	76	家計状況	
q16	77	結婚後の全収入のうち夫の収入割合（割）	99
q17	78	結婚後の家計費負担総額のうち夫の負担割合（割）	99
q18	79	結婚後の家事分担のうち妻の分担割合（割）	99
q19	80	資産総額のうち妻名義の資産割合（割）	99
q20	81	不動産の所有	
q20.1	82	不動産の持ち分（割）	99
q21	83	自分名義の資産を自分が必要なときに使えるか	
q22	84	妻名義の資産を妻が必要なときに使えるか	
q23	85	夫名義の資産に対する妻の立場	
q24	86	妻名義の資産に対する夫の立場	
q25	87	夫婦の資産の名義人	
q25.1	88	夫婦の資産の名義	
q25.2	89	実質の夫婦の資産	
q26	90	結婚後に築いた資産の妻の貢献割合（割）	99
q27	91	夫婦が離婚した場合の資産	
q27.1	92	家事、育児、介護の経済的評価	
q28	93	夫婦の資産の合計額	
q29	94	収入の帰属意識	
q30	95	平日の朝食を食べる場所	
q30.1	96	平日の朝食を一緒に食べる人	
q30.2	97	1週間に家族全員で朝食をとった回数	99
q31	98	平日の夕食を食べる場所	
q31.1	99	平日の夕食を一緒に食べる人	
q31.2	100	1週間に家族全員で夕食をとった回数	99
q32	101	夫婦の会話頻度	
