

変数情報			
変数	位置	ラベル	欠損値
id	1	<なし>	
夫の回答	2	夫の回答の有無	
子の回答	3	子どもの回答の有無	
回答子	4	回答した子どもの年長順（第何子）	
就学状況	5	回答した子どもの就学状況	
q1	6	就業形態	
q1.1	7	仕事内容	
q2	8	仕事の満足度	
q3	9	昨年1年間の収入	
q4	10	夫婦の昨年1年間の合計収入	
q5	11	部屋数	
q6	12	手紙や日記を落ち着いて書ける場所	
q7	13	帰宅時間	
q8	14	帰宅後から就寝まですごす相手	
q9	15	一緒の部屋で寝ている人	
q10a1	16	テレビの台数	99
q10a2_1	17	テレビの設置場所：居間または食堂	
q10a2_2	18	テレビの設置場所：夫婦の寝室	
q10a2_3	19	テレビの設置場所：夫の部屋	
q10a2_4	20	テレビの設置場所：妻の部屋	
q10a2_5	21	テレビの設置場所：子どもの部屋	
q10a2_6	22	テレビの設置場所：客間	
q10a2_7	23	テレビの設置場所：その他	
q10a2_n	24	テレビの設置場所：無回答	
q10b1	25	電話の台数	99
q10b2_1	26	電話の設置場所：居間または食堂	
q10b2_2	27	電話の設置場所：夫婦の寝室	
q10b2_3	28	電話の設置場所：夫の部屋	
q10b2_4	29	電話の設置場所：妻の部屋	
q10b2_5	30	電話の設置場所：子どもの部屋	
q10b2_6	31	電話の設置場所：客間	
q10b2_7	32	電話の設置場所：その他	
q10b2_n	33	電話の設置場所：無回答	
q11a	34	使用頻度：携帯電話	
q11b	35	使用頻度：ポケベル	
q11c	36	使用頻度：ファックス	
q11d	37	使用頻度：電子メール	
q11e	38	使用頻度：インターネット	
q12_1	39	情報収集：新聞	
q12_2	40	情報収集：テレビ	
q12_3	41	情報収集：ラジオ	
q12_4	42	情報収集：雑誌	
q12_5	43	情報収集：広告	
q12_6	44	情報収集：書籍	
q12_7	45	情報収集：パソコン	
q12_8	46	情報収集：電話	
q12_9	47	情報収集：携帯電話	
q12_10	48	情報収集：ファックス	
q12_11	49	情報収集：手紙	
q12_12	50	情報収集：家族と顔をあわせて話すこと	
q12_13	51	情報収集：家族以外の人と会って話すこと	
q12_14	52	情報収集：この中にはない	
q12_n	53	情報収集：無回答	
q13_1	54	関心のある事柄：政治・経済状況	
q13_2	55	関心のある事柄：海外の出来事	
q13_3	56	関心のある事柄：地域の出来事	
q13_4	57	関心のある事柄：地球環境	
q13_5	58	関心のある事柄：企業・市場・ビジネス	
q13_6	59	関心のある事柄：流行やトレンド、新製品・新商品	
q13_7	60	関心のある事柄：事件・事故	
q13_8	61	関心のある事柄：ファッション	
q13_9	62	関心のある事柄：食べ物・料理	
q13_10	63	関心のある事柄：学び	
q13_11	64	関心のある事柄：医療・健康	
q13_12	65	関心のある事柄：投資・貯蓄・不動産・住宅	
q13_13	66	関心のある事柄：音楽・スポーツ・映画・演劇	
q13_14	67	関心のある事柄：旅行	
q13_15	68	関心のある事柄：バーゲン・ディスカウント	
q13_16	69	関心のある事柄：飲食店・デパート・専門店	
q13_17	70	関心のある事柄：芸能界・タレント	
q13_18	71	関心のある事柄：この中にはない	
q13_n	72	関心のある事柄：無回答	
q14	73	定期的な収入の有無	
q14.1	74	〈収入あり〉毎月の手取り収入額	
q14.2	75	〈収入あり〉自分の収入からの住宅ローン返済の有無	
q14.3	76	〈収入あり〉夫婦の合計所得に占める自分の収入割合	
q14.4	77	〈収入あり〉自分のために使える割合	
q14.5	78	〈収入あり〉自分のために使える割合を決めた人	
q14.6	79	〈収入あり〉自分のために使うお金と家計用のお金の区別	
q14.7	80	〈収入あり〉共同の家計のサイフの有無	
q14.8	81	〈収入あり〉自分の収入額のうちサイフに入れている割合	
q14.9	82	〈収入あり〉共同の家計のサイフに入れる割合を決めた人	
q14.10	83	〈収入あり〉共同の家計のサイフの管理者	
q14.11	84	〈収入あり〉自分の収入額のうち家計の費用に充てている割合	
q14.12	85	〈収入あり〉夫は手取り収入をすべて渡しているか	
q14.13	86	〈収入あり〉家計のかたちは望ましいか	
q14.14	87	〈収入あり〉家計のかたちを希望した人	
q15	88	〈収入なし〉夫は手取り収入をすべて渡しているか	
q15.1	89	〈収入なし〉お金の渡し方は望ましいかたちか	
q15.2	90	〈収入なし〉お金の渡し方を希望した人	
q15.3	91	〈収入なし〉自分のために使える割合	
q15.4	92	〈収入なし〉自分のために使える割合を決めた人	
q15.5	93	〈収入なし〉自分のために使うお金と家計用のお金の区別	
q16	94	家庭の収入の満足度	
q17a	95	家庭円満のために、お金の使い途について黙っている	
q17b	96	家族の生活費のために、自分のために使うお金を切り詰める	
q18	97	家計状況	
q19	98	結婚後の全収入のうち夫の収入割合（割）	99
q20	99	結婚後の家計費負担総額のうち夫の負担割合（割）	99
q21	100	結婚後の家事分担のうち妻の分担割合（割）	99
q22	101	資産総額のうち妻名義の資産割合（割）	99
q23	102	夫名義の資産を夫が必要なときに使えるか	
q24	103	自分名義の資産を自分が必要なときに使えるか	
q25	104	夫名義の資産に対する妻の立場	
q26	105	妻名義の資産に対する夫の立場	
q27	106	夫婦の資産の名義人	
q27.1	107	夫婦の資産の名義	
q27.2	108	実質の夫婦の資産	
q28	109	結婚後に築いた資産の妻の貢献割合（割）	99
q29	110	夫婦が離婚した場合の資産	
q29.1	111	家事、育児、介護の経済的評価	
q30	112	夫婦の資産の合計額	
q31	113	収入の帰属意識	
q32	114	平日の朝食を食べる場所	
q32.1	115	平日の朝食を一緒に食べる人	
q32.2	116	1週間に家族全員で朝食をとった回数	99
q33	117	平日の夕食を食べる場所	
q33.1	118	平日の夕食を一緒に食べる人	
q33.2	119	1週間に家族全員で夕食をとった回数	99
q34	120	夫婦の会話頻度	
q34.1	121	夫婦の会話の進められ方	
q35	122	今後の夫婦の会話頻度	
q36a	123	休日レジャーの外出：夫婦と子どもで	
q36b	124	休日レジャーの外出：夫婦二人で	
q36c	125	休日レジャーの外出：子どもと自分だけで	
q36d	126	休日レジャーの外出：自分だけあるいは家族以外の誰かと	
q37a	127	休日の自宅でのレジャーや趣味：夫婦と子どもで	
q37b	128	休日の自宅でのレジャーや趣味：夫婦二人で	
q37c	129	休日の自宅でのレジャーや趣味：子どもと自分だけで	
q37d	130	休日の自宅でのレジャーや趣味：自分だけあるいは家族以外の誰かと	
q38	131	休日の夫への希望	
q39a	132	夫の家事頻度：料理	
q39b	133	夫の家事頻度：料理の後片付け	
q39c	134	夫の家事頻度：掃除	
q39d	135	夫の家事頻度：洗濯	
q39e	136	夫の家事頻度：子どもの世話、しつけ、勉強・進路指導	
q40a	137	自分の家事頻度：料理	
q40b	138	自分の家事頻度：料理の後片付け	
q40c	139	自分の家事頻度：掃除	
q40d	140	自分の家事頻度：洗濯	
q40e	141	自分の家事頻度：子どもの世話、しつけ、勉強・進路指導	
q41a	142	親しい人数：職場や仕事関係	999
