

変数情報			
変数	位置	ラベル	欠損値
id	1	id	
c1	2	子　問1　子ども部屋の有無	9
c2_1	3	子　問2-1　所有：携帯電話・PHS	9
c2_2	4	子　問2-2　所有：CD・携帯音楽プレイヤー	9
c2_3	5	子　問2-3　所有：携帯ゲーム機	9
c2_4	6	子　問2-4　所有：パソコン	9
c2_5	7	子　問2-5　所有：どれも持っていない	9
c3	8	子　問3　落ち着いて勉強できる所	9
c4	9	子　問4　帰宅時間	99
c5	10	子　問5　帰宅後にすごす場所	9
c6a	11	子　問6a　家事　子ども：料理	9
c6b	12	子　問6b　家事　子ども：食事の片付け	9
c6c	13	子　問6c　家事　子ども：掃除	9
c6d	14	子　問6d　家事　子ども：洗濯	9
c6e	15	子　問6e　家事　子ども：きょうだいの世話	9
c7	16	子　問7　インターネットなどの利用頻度	9
c7s_1	17	子　問7付問1　ネットへのアクセス：自宅でPC	8, 9
c7s_2	18	子　問7付問1　ネットへのアクセス：学校でPC	8, 9
c7s_3	19	子　問7付問1　ネットへのアクセス：公共の場所でPC	8, 9
c7s_4	20	子　問7付問1　ネットへのアクセス：携帯電話・PHS	8, 9
c7s_5	21	子　問7付問1　ネットへのアクセス：その他の情報端末	8, 9
c8	22	子　問8　小遣い	9
c8s1_a	23	子　問8　付問1a　親からもらう金額	888888, 999999
c8s1_b	24	子　問8　付問1b　親以外からもらう金額	888888, 999999
c8s2	25	子　問8　付問2　小遣いの額の満足度	8, 9
c8s3	26	子　問8　付問3　小遣いをもらうことの感想	8, 9
c9_1	27	子　問9-1　自由にできるお金：仕事・アルバイトの収入	9
c9_2	28	子　問9-2　自由にできるお金：お手伝いでもらったお金	9
c9_3	29	子　問9-3　自由にできるお金：お年玉・お祝いのお金	9
c9_4	30	子　問9-4　自由にできるお金：その他	9
c9_5	31	子　問9-5　自由にできるお金：小遣い以外はない	9
c10a	32	子　問10a　この1年にもらった金額　お年玉	888888, 999999
c10b	33	子　問10b　この1年にもらった金額　お年玉以外	888888, 999999
c11	34	子　問11　家計の状態	9
c11s1	35	子　問11付問1　家計の状態　判断の理由	8, 9
c12	36	子　問12　朝食を食べる人	9
c13	37	子　問13　夕食を食べる人	9
c14	38	子　問14　夕食の食べ方	9
c15	39	子　問15　家族との夕食　希望	9
c16	40	子　問16　父親との会話	9
c16s1	41	子　問16付問1　父子の会話の進め方	8, 9
c17	42	子　問17　今後の父子の会話希望	9
c18	43	子　問18　母親との会話	9
c18s1	44	子　問18付問1　母子の会話の進め方	8, 9
c19	45	子　問19　今後の母子の会話希望	9
c20a	46	子　問20a　祖父母との会話：父方・祖母	9
c20b	47	子　問20b　祖父母との会話：父方・祖父	9
c20c	48	子　問20c　祖父母との会話：母方・祖母	9
c20d	49	子　問20d　祖父母との会話：母方・祖父	9
c21a	50	子　問21a　友人数：同じ学校・同学年	999
c21b	51	子　問21b　友人数：同じ学校・別学年	999
c21c	52	子　問21c　友人数：別の学校	999
c22a	53	子　問22a　休日の過ごし方：父母一緒に	9
c22b	54	子　問22b　休日の過ごし方：父と一緒	9
c22c	55	子　問22c　休日の過ごし方：母と一緒	9
c22d	56	子　問22d　休日の過ごし方：きょうだいと一緒	9
c22ｅ	57	子　問22ｅ　休日の過ごし方：自分だけ・家族以外	9
c23	58	子　問23　休日の過ごし方　父への希望	9
c24	59	子　問24　休日の過ごし方　母への希望	9
c25_1a	60	子　問25Ａさんa　クラスは同じか	8, 9
c25_1b	61	子　問25Ａさんb　性別	8, 9
c25_1c	62	子　問25Ａさんc　部活・クラブは一緒か	8, 9
c25_1d	63	子　問25Ａさんd　習い事は一緒か	8, 9
c25_1e	64	子　問25Ａさんe　話す頻度	8, 9
c25_1f	65	子　問25Ａさんf　悩みを話せるか	8, 9
c25_1g	66	子　問25Ａさんg　母親は知っているか	8, 9
c25_1h	67	子　問25Ａさんh　父親は知っているか	8, 9
c25_2a	68	子　問25Ｂさんa　クラスは同じか	8, 9
c25_2b	69	子　問25Ｂさんb　性別	8, 9
c25_2c	70	子　問25Ｂさんc　部活・クラブは一緒か	8, 9
c25_2d	71	子　問25Ｂさんd　習い事は一緒か	8, 9
c25_2e	72	子　問25Ｂさんe　話す頻度	8, 9
c25_2f	73	子　問25Ｂさんf　悩みを話せるか	8, 9
c25_2g	74	子　問25Ｂさんg　母親は知っているか	8, 9
c25_2h	75	子　問25Ｂさんh　父親は知っているか	8, 9
c25_3a	76	子　問25Ｃさんa　クラスは同じか	8, 9
c25_3b	77	子　問25Ｃさんb　性別	8, 9
c25_3c	78	子　問25Ｃさんc　部活・クラブは一緒か	8, 9
c25_3d	79	子　問25Ｃさんd　習い事は一緒か	8, 9
c25_3e	80	子　問25Ｃさんe　話す頻度	8, 9
c25_3f	81	子　問25Ｃさんf　悩みを話せるか	8, 9
c25_3g	82	子　問25Ｃさんg　母親は知っているか	8, 9
c25_3h	83	子　問25Ｃさんh　父親は知っているか	8, 9
c25_4a	84	子　問25Ｄさんa　クラスは同じか	8, 9
c25_4b	85	子　問25Ｄさんb　性別	8, 9
c25_4c	86	子　問25Ｄさんc　部活・クラブは一緒か	8, 9
c25_4d	87	子　問25Ｄさんd　習い事は一緒か	8, 9
c25_4e	88	子　問25Ｄさんe　話す頻度	8, 9
c25_4f	89	子　問25Ｄさんf　悩みを話せるか	8, 9
c25_4g	90	子　問25Ｄさんg　母親は知っているか	8, 9
c25_4h	91	子　問25Ｄさんh　父親は知っているか	8, 9
c25s1a	92	子　問25付問1a：ＡさんとＢさん	8, 9
c25s1b	93	子　問25付問1b：ＡさんとＣさん	8, 9
c25s1c	94	子　問25付問1c：ＡさんとＤさん	8, 9
c25s1d	95	子　問25付問1d：ＢさんとＣさん	8, 9
c25s1e	96	子　問25付問1e：ＢさんとＤさん	8, 9
c25s1f	97	子　問25付問1f：ＣさんとＤさん	8, 9
c26a	98	子　問26a　サポート：（a）父は心配事や悩み事を聞いてくれる	9
c26b	99	子　問26b　サポート：（b）父は能力や努力をほめてくれる	9
c26c	100	子　問26c　サポート：（c）父は文句や小言をいう	9
