

変数情報			
変数	位置	ラベル	欠損値
id	1	id	
h1	2	夫　問1職業の有無	99
h1_s1	3	夫　問1付問1　職種	88, 99
h1_s2	4	夫　問1付問2　週当たり労働時間	88, 99
h1_s3_h	5	夫　問1付問3　通勤時間　時	88, 99
h1_s3_m	6	夫　問1付問3　通勤時間　分	88, 99
h2	7	夫　問2　仕事満足度	9
h3	8	夫　問3　年収	99
h4	9	夫　問4　世帯年収	9
h5_1	10	夫　問5　第一子　育休取得の有無	8, 9
h5_2	11	夫　問5　第二子　育休取得の有無	8, 9
h5_s1_1	12	夫　問5付問１　第一子　育休期間	88, 99
h5_s1_2	13	夫　問5付問１　第二子　育休期間	88, 99
h5_s2_1a	14	夫　問5付問2　第一子休み方a　有給休暇、病気休暇（給与または給付あり）をとった	8, 9
h5_s2_1b	15	夫　問5付問2　第一子休み方b　出産休暇をとった	8, 9
h5_s2_1c	16	夫　問5付問2　第一子休み方c　育児休暇（給与または給付あり）をとった	8, 9
h5_s2_1d	17	夫　問5付問2　第一子休み方d　欠勤または育児休暇(無給）などで休んだ	8, 9
h5_s2_1e	18	夫　問5付問2　第一子休み方e　自分で自分の仕事を調整した	8, 9
h5_s2_1f	19	夫　問5付問2　第一子休み方f　その他	8, 9
h5_s2_2a	20	夫　問5付問2　第二子休み方a　有給休暇、病気休暇（給与または給付あり）をとった	8, 9
h5_s2_2b	21	夫　問5付問2　第二子休み方b　出産休暇をとった	8, 9
h5_s2_2c	22	夫　問5付問2　第二子休み方c　育児休暇（給与または給付あり）をとった	8, 9
h5_s2_2d	23	夫　問5付問2　第二子休み方d　欠勤または育児休暇(無給）などで休んだ	8, 9
h5_s2_2e	24	夫　問5付問2　第二子休み方e　自分で自分の仕事を調整した	8, 9
h5_s2_2f	25	夫　問5付問2　第二子休み方f　その他	8, 9
h6_1a	26	夫　問6(1)a　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：お風呂	88, 99
h6_1b	27	夫　問6(1)b　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：食事	88, 99
h6_1c	28	夫　問6(1)c　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：遊び	88, 99
h6_1d	29	夫　問6(1)d　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：身の回りの世話	88, 99
h6_1e	30	夫　問6(1)e　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：叱る	88, 99
h6_2a	31	夫　問6（2）a　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：お風呂	88, 99
h6_2b	32	夫　問6（2）b　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：夕食	88, 99
h6_2c	33	夫　問6（2）c　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：遊ぶ	88, 99
h6_2d	34	夫　問6（2）d　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：身の回りの世話	88, 99
h6_2e	35	夫　問6（2）e　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：幼稚・保育園への送り	88, 99
h6_2f	36	夫　問6（2）f　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：出来事を聞く	88, 99
h6_2g	37	夫　問6（2）g　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：疑問に答える	88, 99
h6_2h	38	夫　問6（2）h　夫育児/0歳～小学3年生の子ども/お子さんが3～6歳時点：叱る	88, 99
h7_1a	39	夫　問7(1)a　夫育児/小学4年生～18歳の子ども/お子さんが0～2歳時点：お風呂	88, 99
h7_1b	40	夫　問7(1)b　夫育児/小学4年生～18歳の子ども/お子さんが0～2歳時点：食事	88, 99
h7_1c	41	夫　問7(1)c　夫育児/小学4年生～18歳の子ども/お子さんが0～2歳時点：遊び	88, 99
h7_1d	42	夫　問7(1)d　夫育児/小学4年生～18歳の子ども/お子さんが0～2歳時点：身の回りの世話	88, 99
h7_1e	43	夫　問7(1)e　夫育児/小学4年生～18歳の子ども/お子さんが0～2歳時点：叱る	88, 99
h7_2a	44	夫　問7（2）a　夫育児/小学4年生～18歳の子ども/お子さんが3～6歳時点：お風呂	88, 99
h7_2b	45	夫　問7（2）b　夫育児/小学4年生～18歳の子ども/お子さんが3～6歳時点：夕食	88, 99
h7_2c	46	夫　問7（2）c　夫育児/小学4年生～18歳の子ども/お子さんが3～6歳時点：遊ぶ	88, 99
h7_2d	47	夫　問7（2）d　夫育児/小学4年生～18歳の子ども/お子さんが3～6歳時点：身の回りの世話	88, 99
h7_2e	48	夫　問7（2）e　夫育児/小学4年生～18歳の子ども/お子さんが3～6歳時点：幼稚・保育園への送り	88, 99
h7_2f	49	夫　問7（2）f　夫育児/小学4年生～18歳の子ども/お子さんが3～6歳時点：出来事を聞く	88, 99
