

変数情報			
変数	位置	ラベル	欠損値
id	1	id	
f1_wa	2	F1妻性別	
f1_wb	3	F1妻年齢	99
f1_ha	4	F1夫性別	9
f1_hb	5	F1夫年齢	99
f1_he	6	F1夫同居・別居	9
f1_c1a	7	F1第一子性別	8, 9
f1_c1b	8	F1第一子年齢	88, 99
f1_c1c	9	F1第一子就学状況	8, 9
f1_c1d	10	F1第一子学校種類	8, 9
f1_c1e	11	F1第一子同居・別居	8, 9
f1_c2a	12	F1第二子性別	8, 9
f1_c2b	13	F1第二子年齢	88, 99
f1_c2c	14	F1第二子就学状況	8, 9
f1_c2d	15	F1第二子学校種類	8, 9
f1_c2e	16	F1第二子同居・別居	8, 9
f1_c3a	17	F1第三子性別	8, 9
f1_c3b	18	F1第三子年齢	88, 99
f1_c3c	19	F1第三子就学状況	8, 9
f1_c3d	20	F1第三子学校種類	8, 9
f1_c3e	21	F1第三子同居・別居	8, 9
f1_c4a	22	F1第四子性別	8, 9
f1_c4b	23	F1第四子年齢	88, 99
f1_c4c	24	F1第四子就学状況	8, 9
f1_c4d	25	F1第四子学校種類	8, 9
f1_c4e	26	F1第四子同居・別居	8, 9
f1_c5a	27	F1第五子性別	8, 9
f1_c5b	28	F1第五子年齢	88, 99
f1_c5c	29	F1第五子就学状況	8, 9
f1_c5d	30	F1第五子学校種類	8, 9
f1_c5e	31	F1第五子同居・別居	8, 9
f2	32	F2子ども人数	99
f3	33	F3結婚年数	99
f4	34	F4住居	9
f5	35	F5居住年数	99
w1	36	妻　問1職業の有無	99
w1_s1	37	妻　問1付問1　職種	88, 99
w1_s2	38	妻　問1付問2　週当たり労働時間	88, 99
w1_s3_h	39	妻　問1付問3　通勤時間　時	88, 99
w1_s3_m	40	妻　問1付問3　通勤時間　分	88, 99
w2	41	妻　問2　仕事満足度	9
w3	42	妻　問3　年収	99
w4	43	妻　問4　世帯年収	9
w5_1a	44	妻　問5　第一子出産前の働き方	8, 9
w5_1b1	45	妻　問5　第一子休み方1　妊娠中に仕事をやめた	8, 9
w5_1b2	46	妻　問5　第一子休み方2　仕事を休まなかった	8, 9
w5_1b3	47	妻　問5　第一子休み方3　有給休暇、病気休暇（給与または給付あり）をとった	8, 9
w5_1b4	48	妻　問5　第一子休み方4　出産休暇をとった	8, 9
w5_1b5	49	妻　問5　第一子休み方5　育児休暇（給与または給付あり）をとった	8, 9
w5_1b6	50	妻　問5　第一子休み方6　欠勤または育児休暇(無給）などで休んだ	8, 9
w5_1b7	51	妻　問5　第一子休み方7　自分で自分の仕事を調整した	8, 9
w5_1b8	52	妻　問5　第一子休み方8　その他	8, 9
w5_1b9	53	妻　問5　第一子休み方9	8, 9
w5_1c1	54	妻　問5　第一子産休期間・産前	88, 99
w5_1c2	55	妻　問5　第一子産休期間・産後	88, 99
w5_1c3	56	妻　問5　第一子産休期間・産後育休（週）	888, 999
w5_1c4	57	妻　問5　第一子産休期間・産後育休（月）	88, 99
w5_1c5	58	妻　問5　第一子産休期間・産後その他（週）	888, 999
w5_1c6	59	妻　問5　第一子産休期間・産後その他（月）	88, 99
w5_1d	60	妻　問5　第一子産後・育休後の仕事	8, 9
w5_2a	61	妻　問5　第二子出産前の働き方	8, 9
w5_2b1	62	妻　問5　第二子休み方1　妊娠中に仕事をやめた	8, 9
w5_2b2	63	妻　問5　第二子休み方2　仕事を休まなかった	8, 9
w5_2b3	64	妻　問5　第二子休み方3　有給休暇、病気休暇（給与または給付あり）をとった	8, 9
w5_2b4	65	妻　問5　第二子休み方4　出産休暇をとった	8, 9
w5_2b5	66	妻　問5　第二子休み方5　育児休暇（給与または給付あり）をとった	8, 9
w5_2b6	67	妻　問5　第二子休み方6　欠勤または育児休暇(無給）などで休んだ	8, 9
w5_2b7	68	妻　問5　第二子休み方7　自分で自分の仕事を調整した	8, 9
w5_2b8	69	妻　問5　第二子休み方8　その他	8, 9
w5_2b9	70	妻　問5　第二子休み方9	8, 9
w5_2c1	71	妻　問5　第二子産休期間・産前	88, 99
w5_2c2	72	妻　問5　第二子産休期間・産後	88, 99
w5_2c3	73	妻　問5　第二子産休期間・産後育休（週）	888, 999
w5_2c4	74	妻　問5　第二子産休期間・産後育休（月）	88, 99
w5_2c5	75	妻　問5　第二子産休期間・産後その他（週）	888, 999
w5_2c6	76	妻　問5　第二子産休期間・産後その他（月）	88, 99
w5_2d	77	妻　問5　第二子産後・育休後の仕事	8, 9
w6_1a	78	妻　問6(1)a　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：お風呂	88, 99
w6_1b	79	妻　問6(1)b　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：食事	88, 99
w6_1c	80	妻　問6(1)c　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：遊び	88, 99
w6_1d	81	妻　問6(1)d　夫育児/0歳～小学3年生の子ども/お子さんが0～2歳時点：身の回りの世話	88, 99
