country,gdp,averagewage,year
Mexico,20673,16230,2020
Slovakia,33409,23619,2020
Hungary,37303,25409,2020
Chile,24689,26729,2020
Greece,31823,27207,2020
Portugal,36382,28410,2020
Latvia,35037,29876,2020
Czech Republic,44920,29885,2020
Estonia,42911,30720,2020
Lithuania,43342,31811,2020
Poland,38027,32527,2020
Italy,46613,37769,2020
Spain,41424,37922,2020
Japan,44625,38515,2020
Israel,43810,39322,2020
Slovenia,44222,41445,2020
Korea,48985,41960,2020
New Zealand,48165,45269,2020
France,51184,45581,2020
Finland,55740,46230,2020
Sweden,61234,47020,2020
Ireland,108312,49474,2020
Austria,59296,53132,2020
Australia,60575,55206,2020
Germany,58674,53745,2020
Belgium,59948,54327,2020
Canada,50661,55342,2020
Norway,68416,55780,2020
Denmark,65669,58430,2020
Netherlands,64772,58828,2020
Switzerland,76902,64824,2020
Luxembourg,136240,65854,2020
Iceland,58028,67488,2020
United States,69558,69392,2020
