hospital,frequency,month,procedure,satis
20,1,1,0,2.0268414
15,3,1,0,3.67541
9,4,1,0,.56433052
2,3,1,0,2.5431106
46,1,1,0,3.7896712
25,4,1,0,3.949188
13,1,1,0,2.8463759
14,3,1,0,2.9427478
28,4,1,0,3.5810013
39,1,1,0,3.4945014
2,4,1,0,3.8386283
4,1,1,0,4.2613306
43,1,1,0,2.4420812
46,1,1,0,4.6946583
8,4,1,0,2.8077333
3,1,1,0,4.0653977
32,3,1,0,3.3555741
45,1,1,0,4.1565585
11,1,1,0,4.0387683
25,3,1,0,4.0634723
37,4,1,0,2.5631635
19,2,1,0,2.6483421
12,1,1,0,3.1128883
7,3,1,0,6.8607683
21,4,1,0,3.9453259
31,3,1,0,2.9496429
38,1,1,0,3.0500796
3,1,1,0,4.6635752
37,4,1,0,1.9786544
46,1,1,0,4.4915495
15,4,1,0,3.7523696
29,3,1,0,3.3794906
40,1,1,0,3.169276
46,1,1,0,1.9965825
33,4,1,0,2.9217975
46,3,1,0,2.8438282
8,1,1,0,2.5497637
11,1,1,0,4.0109787
5,1,1,0,2.6657453
31,2,1,0,4.027266
33,3,1,0,2.2671876
20,3,1,0,3.323416
6,4,1,0,3.5785217
29,4,1,0,3.2860773
22,4,1,0,2.9545381
7,3,1,0,5.4772391
13,2,1,0,4.4739208
24,2,1,0,3.1531482
41,2,1,0,2.973666
5,2,1,0,3.7203383
38,3,1,0,2.0194399
20,1,1,0,4.8127437
10,1,1,0,6.0051556
22,2,1,0,2.0587528
22,2,1,0,4.8861427
24,3,1,0,2.5270143
39,4,1,0,3.4126265
6,3,1,0,4.4963465
4,2,1,0,4.2687283
10,1,1,0,5.1778421
13,2,1,0,2.2296972
46,3,1,0,3.3649275
15,4,1,0,2.8515506
45,4,1,0,2.7213538
10,3,1,0,5.1313586
44,3,1,0,3.3905776
43,1,1,0,1.9538814
26,3,1,0,3.4851682
41,3,1,0,3.048907
1,3,1,0,3.1629472
3,2,1,0,2.6350651
24,4,1,0,3.333775
45,1,1,0,3.1610343
4,1,1,0,2.9681978
19,2,1,0,3.0580914
45,1,1,0,3.532654
45,2,1,0,2.5302
37,4,1,0,3.1450133
22,2,1,0,4.255209
43,1,1,0,3.1675243
27,3,1,0,2.8792217
45,4,1,0,2.568135
38,2,1,0,2.8638933
33,2,1,0,2.7855437
45,2,1,0,2.9845817
38,1,1,0,3.1678302
2,4,1,0,4.3268967
4,3,1,0,3.7121422
2,1,1,0,3.7399518
1,2,1,0,2.5685573
34,4,1,0,3.223233
16,1,1,0,4.3330107
1,1,1,0,2.5674443
45,1,1,0,2.972822
30,3,1,0,3.4528756
7,2,1,0,3.8955798
29,4,1,0,3.9843316
12,2,1,0,2.2914331
11,1,1,0,2.8163078
27,1,1,0,2.7466385
7,3,1,0,4.7213635
21,2,1,0,5.2242231
34,1,1,0,3.4546223
31,3,1,0,3.4839811
24,4,1,0,3.0355761
19,1,1,0,2.8561113
11,4,1,0,3.5214615
9,3,1,0,1.9666417
1,2,1,0,3.8383093
39,3,1,0,3.4228518
22,3,1,0,3.6671572
16,1,1,0,2.9960499
8,1,1,0,3.9377599
32,3,1,0,2.1669216
1,1,1,0,4.116375
12,3,1,0,2.7445376
9,1,1,0,1.6276865
9,2,1,0,1.6546241
18,1,1,0,3.1486897
15,4,1,0,3.2498653
44,4,1,0,3.0282407
44,1,1,0,3.0273011
44,3,1,0,1.8749493
31,2,1,0,3.0281608
44,3,1,0,3.8428819
40,4,1,0,3.5376332
42,4,1,0,3.7807455
15,2,1,0,2.2727046
3,4,1,0,3.2340381
23,4,1,0,3.492739
40,1,1,0,2.7258408
42,1,1,0,3.1432135
3,1,1,0,5.0716562
6,4,1,0,2.8294532
38,3,1,0,2.516989
32,4,1,0,3.7248094
15,1,1,0,3.3556862
43,1,1,0,3.3948045
11,3,1,0,3.890466
16,2,1,0,5.5504713
8,1,1,0,4.0143209
21,1,1,0,5.3613672
41,3,1,0,2.6391499
1,3,1,0,2.8146434
33,1,1,0,2.0118775
12,2,1,0,3.7686393
10,1,1,0,4.6309867
12,1,1,0,3.7316902
16,1,1,0,4.1181965
19,2,1,0,3.0021486
27,2,1,0,2.1376431
35,2,1,0,4.5154757
14,4,1,0,4.5742497
1,1,1,0,2.5873148
36,2,1,0,6.6260238
43,3,1,0,2.8421884
43,3,1,0,1.8548892
43,4,1,0,2.4432666
35,4,1,0,2.8894792
43,4,1,0,3.1384048
3,1,1,0,4.6696248
43,2,1,0,2.3553109
43,3,1,0,2.0750504
12,3,1,0,3.4617014
36,3,1,0,4.8788795
7,2,1,0,4.2103786
20,2,1,0,2.743329
13,3,1,0,3.6994913
8,4,1,0,1.9039955
1,1,1,0,3.4204652
31,4,1,0,3.5081317
24,4,1,0,3.0316391
26,1,1,0,2.8469248
32,2,1,0,2.759043
13,3,1,0,4.1158509
29,4,1,0,3.962359
30,1,1,0,3.9595351
35,1,1,0,4.0926585
26,1,1,0,3.1691396
7,4,1,0,5.1466742
35,4,1,0,4.4615197
11,4,1,0,2.2312765
40,4,1,0,3.2418175
2,2,1,0,2.6712208
10,1,1,0,3.2660146
3,2,1,0,2.5978713
14,3,1,0,3.2844222
45,3,1,0,3.2536933
20,4,1,0,3.1181247
33,3,1,0,2.3877997
15,4,1,0,2.5202851
46,4,1,0,3.6838055
12,4,1,0,2.951041
20,3,1,0,2.4459803
1,2,1,0,3.6877282
35,2,1,0,3.502871
1,4,1,0,2.4621358
35,3,1,0,3.1094525
34,1,1,0,2.6396418
42,3,1,0,2.5390494
20,3,1,0,3.6623673
25,2,1,0,3.7609801
38,3,1,0,2.7995045
42,4,1,0,3.4307942
3,2,1,0,3.8038824
26,3,1,0,3.0938194
42,3,1,0,5.1825876
5,4,1,0,3.4082813
21,3,1,0,4.0346675
7,3,1,0,5.3814998
39,2,1,0,2.3741241
27,3,1,0,2.8678854
15,4,1,0,3.7694647
30,4,1,0,2.2626336
17,4,1,0,3.8434482
4,1,1,0,1.8414795
40,1,1,0,4.3859181
