ID,height,weight,sex
1,162.3,47.5,1
2,159.6,43.7,1
3,163.2,47.6,1
4,165.4,45.1,1
5,165.5,44.2,1
6,164.2,49.8,1
7,165.7,47.4,1
8,158.8,47.1,1
9,160.8,44.1,1
10,159.3,42.7,1
11,164.5,46.1,1
12,166.7,49.6,1
13,165.4,49.0,1
14,162.1,44.5,1
15,165.0,49.4,1
16,166.6,50.0,1
17,161.6,43.9,1
18,162.2,42.4,1
19,164.0,48.5,1
20,164.5,49.1,1
21,163.5,45.6,1
22,163.0,46.3,1
23,166.4,46.8,1
24,160.8,46.5,1
25,163.8,44.3,1
26,161.7,43.3,1
27,161.5,43.0,1
28,162.0,44.2,1
29,160.5,42.0,1
30,165.5,48.2,1
31,161.5,47.6,1
32,160.0,42.5,1
33,162.5,44.5,1
34,166.2,50.0,1
35,163.8,49.4,1
36,158.9,43.6,1
37,163.8,47.6,1
38,165.2,46.1,1
39,164.3,45.7,1
40,159.1,42.2,1
41,174.6,65.2,2
42,172.7,67.9,2
43,173.5,68.0,2
44,176.0,68.5,2
45,165.8,59.4,2
46,167.7,52.5,2
47,169.2,60.8,2
48,174.2,71.3,2
49,172.8,64.1,2
50,173.5,68.0,2
51,169.1,51.4,2
52,167.7,52.5,2
53,167.8,59.5,2
54,172.3,59.7,2
55,171.8,53.5,2
56,169.8,52.5,2
57,172.9,61.1,2
58,171.8,53.5,2
59,175.5,69.4,2
60,176.0,71.0,2
61,170.5,67.9,2
62,172.7,62.6,2
63,172.8,61.1,2
64,176.5,68.6,2
65,172.8,61.1,2
66,171.8,53.5,2
67,169.1,51.4,2
68,172.4,63.4,2
69,173.9,68.6,2
70,173.2,63.0,2
71,172.4,68.9,2
72,174.0,67.7,2
73,176.0,68.5,2
74,169.5,61.3,2
75,174.6,65.2,2
76,169.8,52.5,2
77,173.6,66.9,2
78,170.5,67.9,2
79,173.1,64.4,2
80,173.8,65.8,2
81,173.3,71.3,2
82,173.2,63.0,2
83,173.4,64.6,2
84,172.9,61.1,2
85,173.1,66.0,2
86,173.9,68.6,2
87,170.2,57.7,2
88,173.2,67.1,2
89,173.1,64.4,2
90,173.6,66.9,2
91,175.5,69.4,2
92,171.6,60.8,2
93,172.4,63.4,2
94,173.3,71.3,2
95,174.8,61.1,2
96,167.7,52.5,2
97,170.5,67.9,2
98,173.0,57.5,2
99,173.1,64.4,2
100,171.8,53.5,2
