prefid,pref,nintei_sum
1,北海道,"337,756"
2,青森県,"76,003"
3,岩手県,"79,553"
4,宮城県,"118,876"
5,秋田県,"73,509"
6,山形県,"65,382"
7,福島県,"113,898"
8,茨城県,"132,559"
9,栃木県,"89,995"
10,群馬県,"101,828"
11,埼玉県,"306,109"
12,千葉県,"284,769"
13,東京都,"621,019"
14,神奈川県,"415,169"
15,新潟県,"137,408"
16,富山県,"63,739"
17,石川県,"59,142"
18,福井県,"41,487"
19,山梨県,"39,685"
20,長野県,"113,375"
21,岐阜県,"103,458"
22,静岡県,"178,620"
23,愛知県,"318,412"
24,三重県,"99,560"
25,滋賀県,"65,073"
26,京都府,"156,422"
27,大阪府,"524,705"
28,兵庫県,"318,670"
29,奈良県,"78,299"
30,和歌山県,"68,379"
31,鳥取県,"34,875"
32,島根県,"48,282"
33,岡山県,"118,896"
34,広島県,"158,862"
35,山口県,"89,718"
36,徳島県,"49,277"
37,香川県,"60,204"
38,愛媛県,"93,699"
39,高知県,"47,186"
40,福岡県,"271,825"
41,佐賀県,"45,440"
42,長崎県,"87,950"
43,熊本県,"109,220"
44,大分県,"68,424"
45,宮崎県,"58,222"
46,鹿児島県,"102,067"
47,沖縄県,"59,276"
