prefid,gender,pref,year,walk_point
1,女性,北海道,2010年,5825
1,男性,北海道,2010年,6957.6
2,女性,青森県,2010年,5656.7
2,男性,青森県,2010年,5976.4
3,女性,岩手県,2010年,6501.9
3,男性,岩手県,2010年,7264.8
4,女性,宮城県,2010年,5790.7
4,男性,宮城県,2010年,6478.7
5,女性,秋田県,2010年,5173.5
5,男性,秋田県,2010年,6231.8
6,女性,山形県,2010年,5618
6,男性,山形県,2010年,6489.9
7,女性,福島県,2010年,6416.5
7,男性,福島県,2010年,7384.6
8,女性,茨城県,2010年,6204.8
8,男性,茨城県,2010年,6901.3
9,女性,栃木県,2010年,5448.4
9,男性,栃木県,2010年,6996.3
10,女性,群馬県,2010年,6071.1
10,男性,群馬県,2010年,6700
11,女性,埼玉県,2010年,6488.4
11,男性,埼玉県,2010年,7553.9
12,女性,千葉県,2010年,6422.4
12,男性,千葉県,2010年,7761.1
13,女性,東京都,2010年,6949.4
13,男性,東京都,2010年,7866.3
14,女性,神奈川県,2010年,6987.5
14,男性,神奈川県,2010年,7795.8
15,女性,新潟県,2010年,5630.1
15,男性,新潟県,2010年,6005.3
16,女性,富山県,2010年,6060.5
16,男性,富山県,2010年,6957.7
17,女性,石川県,2010年,6153.6
17,男性,石川県,2010年,7114
18,女性,福井県,2010年,6121.6
18,男性,福井県,2010年,7011
19,女性,山梨県,2010年,5152.5
19,男性,山梨県,2010年,6720.5
20,女性,長野県,2010年,6422.2
20,男性,長野県,2010年,7195.8
21,女性,岐阜県,2010年,6277.8
21,男性,岐阜県,2010年,7063
22,女性,静岡県,2010年,6503.5
22,男性,静岡県,2010年,7525.4
23,女性,愛知県,2010年,6420.8
23,男性,愛知県,2010年,7247
24,女性,三重県,2010年,6139.4
24,男性,三重県,2010年,7540.7
25,女性,滋賀県,2010年,6442
25,男性,滋賀県,2010年,7435.6
26,女性,京都府,2010年,6291.3
26,男性,京都府,2010年,7485.2
27,女性,大阪府,2010年,6365.7
27,男性,大阪府,2010年,7558
28,女性,兵庫県,2010年,7063.1
28,男性,兵庫県,2010年,7964.5
29,女性,奈良県,2010年,6687.6
29,男性,奈良県,2010年,7786.9
30,女性,和歌山県,2010年,5715.8
30,男性,和歌山県,2010年,6178.4
31,女性,鳥取県,2010年,5284.7
31,男性,鳥取県,2010年,5634.3
32,女性,島根県,2010年,5960.3
32,男性,島根県,2010年,6716.3
33,女性,岡山県,2010年,6045.7
33,男性,岡山県,2010年,7594.8
34,女性,広島県,2010年,6309.4
34,男性,広島県,2010年,7310.4
35,女性,山口県,2010年,5887.7
35,男性,山口県,2010年,6901.3
36,女性,徳島県,2010年,6141.9
36,男性,徳島県,2010年,6897.9
37,女性,香川県,2010年,5790.2
37,男性,香川県,2010年,6694.8
38,女性,愛媛県,2010年,6465.3
38,男性,愛媛県,2010年,6813.7
39,女性,高知県,2010年,6110.2
39,男性,高知県,2010年,6390.5
40,女性,福岡県,2010年,6180.3
40,男性,福岡県,2010年,6655.3
41,女性,佐賀県,2010年,5896.7
41,男性,佐賀県,2010年,6248.8
42,女性,長崎県,2010年,5795.9
42,男性,長崎県,2010年,6723.3
43,女性,熊本県,2010年,6154.5
43,男性,熊本県,2010年,6709.8
44,女性,大分県,2010年,6015.9
44,男性,大分県,2010年,7062.8
45,女性,宮崎県,2010年,6148.2
45,男性,宮崎県,2010年,7471
46,女性,鹿児島県,2010年,5844.4
46,男性,鹿児島県,2010年,6717
47,女性,沖縄県,2010年,5822.6
47,男性,沖縄県,2010年,7214
