id,dataset,x,y
1,1,10,8.04
1,2,10,9.1400003
1,3,10,7.46
1,4,8,6.5799999
2,1,8,6.9499998
2,2,8,8.1400003
2,3,8,6.77
2,4,8,5.7600002
3,1,13,7.5799999
3,2,13,8.7399998
3,3,13,12.74
3,4,8,7.71
4,1,9,8.8100004
4,2,9,8.7700005
4,3,9,7.1100001
4,4,8,8.8400002
5,1,11,8.3299999
5,2,11,9.2600002
5,3,11,7.8099999
5,4,8,8.4700003
6,1,14,9.96
6,2,14,8.1000004
6,3,14,8.8400002
6,4,8,7.04
7,1,6,7.2399998
7,2,6,6.1300001
7,3,6,6.0799999
7,4,8,5.25
8,1,4,4.2600002
8,2,4,3.0999999
8,3,4,5.3899999
8,4,8,5.5599999
9,1,12,10.84
9,2,12,9.1300001
9,3,12,8.1499996
9,4,19,12.5
10,1,7,4.8200002
10,2,7,7.2600002
10,3,7,6.4200001
10,4,8,7.9099998
11,1,5,5.6799998
11,2,5,4.7399998
11,3,5,5.73
11,4,8,6.8899999
