順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,year
1,今成　亮太,日本ハム,1.0,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2010
1,渡部　龍一,日本ハム,1.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2010
3,金澤　岳,ロッテ,0.571,6,7,7,0,4,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0.571,0.571,2010
4,青木　宣親,ヤクルト,0.358,144,667,583,92,209,44,1,14,297,63,19,4,0,3,63,7,18,61,10,0.435,0.509,2010
5,平野　恵一,阪神,0.35,139,593,492,77,172,22,5,1,207,24,6,7,59,1,34,0,7,55,2,0.399,0.421,2010
6,マートン,阪神,0.349,144,668,613,105,214,35,3,17,306,91,11,6,0,5,47,3,3,70,14,0.395,0.499,2010
7,西岡　剛,ロッテ,0.346,144,692,596,121,206,32,8,11,287,59,22,11,8,5,79,1,4,96,8,0.423,0.482,2010
8,和田　一浩,中日,0.339,144,602,505,94,171,29,2,37,315,93,5,0,0,5,92,7,0,77,12,0.437,0.624,2010
8,フェルナンデス,西武,0.339,57,243,221,28,75,11,0,11,119,45,1,0,0,3,17,0,2,26,8,0.387,0.538,2010
10,田中　賢介,日本ハム,0.335,143,662,576,88,193,24,4,5,240,54,34,10,7,5,72,4,2,66,6,0.408,0.417,2010
11,上本　博紀,阪神,0.333,28,16,15,11,5,1,0,0,6,2,2,1,0,0,1,1,0,1,1,0.375,0.4,2010
11,新田　玄気,ヤクルト,0.333,6,6,6,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0.333,0.5,2010
11,中村　悠平,ヤクルト,0.333,3,6,6,1,2,1,0,0,3,1,0,0,0,0,0,0,0,4,0,0.333,0.5,2010
14,今江　敏晃,ロッテ,0.331,140,596,531,74,176,37,1,10,245,77,8,3,30,5,22,0,8,66,10,0.364,0.461,2010
14,カブレラ,オリックス,0.331,112,481,408,66,135,21,2,24,232,82,1,0,0,2,69,4,2,91,14,0.428,0.569,2010
14,森山　周,オリックス,0.331,68,149,130,26,43,2,0,0,45,9,5,2,10,1,8,0,0,21,2,0.367,0.346,2010
17,平尾　博嗣,西武,0.33,57,126,109,14,36,5,1,3,52,17,2,1,3,1,13,0,0,24,4,0.398,0.477,2010
18,森野　将彦,中日,0.327,144,626,547,85,179,45,2,22,294,84,2,3,2,7,64,4,6,77,16,0.399,0.537,2010
19,荻野　貴司,ロッテ,0.326,46,217,175,29,57,9,2,1,73,17,25,3,21,3,16,1,2,24,2,0.383,0.417,2010
20,多村　仁志,ソフトバンク,0.324,140,559,513,74,166,33,1,27,282,89,2,2,0,3,33,2,10,93,11,0.374,0.55,2010
20,木村　昇吾,広島,0.324,70,164,136,22,44,10,5,1,67,11,6,5,16,0,10,0,2,33,1,0.378,0.493,2010
22,鉄平,楽天,0.318,127,555,481,86,153,29,7,9,223,64,13,6,5,7,53,2,9,57,3,0.391,0.464,2010
22,石井　琢朗,広島,0.318,74,165,148,15,47,5,1,0,54,20,1,1,5,0,11,0,1,20,2,0.369,0.365,2010
24,川崎　宗則,ソフトバンク,0.316,144,662,602,74,190,27,5,4,239,53,30,11,10,0,43,1,7,86,6,0.368,0.397,2010
24,ハーパー,横浜,0.316,64,261,225,27,71,6,0,19,134,56,0,0,0,4,28,0,4,58,7,0.395,0.596,2010
26,内川　聖一,横浜,0.315,144,637,577,75,182,36,4,9,253,66,1,2,3,4,47,1,6,51,17,0.371,0.438,2010
26,嶋　基宏,楽天,0.315,127,485,422,33,133,17,0,3,159,43,9,5,17,1,45,1,0,90,15,0.38,0.377,2010
28,中島　裕之,西武,0.314,130,579,503,80,158,33,3,20,257,93,15,5,0,11,52,2,13,97,20,0.385,0.511,2010
29,新井　貴浩,阪神,0.311,144,641,570,96,177,42,0,19,276,112,7,2,0,8,52,1,11,89,19,0.374,0.484,2010
29,小谷野　栄一,日本ハム,0.311,144,614,569,73,177,41,0,16,266,109,8,3,6,7,29,2,3,87,17,0.344,0.467,2010
29,矢野　謙次,巨人,0.311,42,88,74,8,23,4,1,2,35,13,0,2,4,0,10,0,0,11,1,0.393,0.473,2010
32,栗山　巧,西武,0.31,144,660,554,77,172,35,2,4,223,74,14,5,18,3,80,1,5,69,7,0.4,0.403,2010
33,糸井　嘉男,日本ハム,0.309,138,583,488,86,151,33,3,15,235,64,26,8,13,1,71,2,10,94,7,0.407,0.482,2010
33,廣瀬　純,広島,0.309,135,546,482,65,149,32,3,12,223,57,3,1,8,4,36,3,16,66,9,0.374,0.463,2010
33,ホワイトセル,ヤクルト,0.309,68,268,230,44,71,16,2,15,136,53,0,0,0,2,32,0,4,71,4,0.399,0.591,2010
36,坂口　智隆,オリックス,0.308,138,622,558,84,172,31,10,5,238,50,12,6,7,1,52,0,4,77,13,0.371,0.427,2010
36,小笠原　道大,巨人,0.308,137,591,510,83,157,24,1,34,285,90,1,0,0,5,73,2,3,101,9,0.394,0.559,2010
36,藤田　一也,横浜,0.308,106,220,201,21,62,8,0,1,73,15,2,2,11,0,6,0,2,33,2,0.335,0.363,2010
39,北川　博敏,オリックス,0.307,119,403,362,42,111,25,0,12,172,61,2,1,0,6,28,0,7,65,6,0.362,0.475,2010
40,梵　英心,広島,0.306,144,659,562,82,172,34,3,13,251,56,43,14,36,4,53,0,4,80,4,0.368,0.447,2010
41,ラミレス,巨人,0.304,144,606,566,93,172,28,0,49,347,129,1,2,0,7,21,1,12,98,14,0.338,0.613,2010
41,内村　賢介,楽天,0.304,111,270,230,43,70,5,2,0,79,12,10,7,14,2,23,0,1,32,3,0.367,0.343,2010
43,城島　健司,阪神,0.303,144,602,554,76,168,29,0,28,281,91,9,5,2,3,27,0,16,53,22,0.352,0.507,2010
44,大西　宏明,横浜,0.302,36,52,43,3,13,1,0,0,14,2,0,0,1,0,8,0,0,14,2,0.412,0.326,2010
45,鳥谷　敬,阪神,0.301,144,651,575,98,173,31,6,19,273,104,13,3,2,5,66,1,3,93,14,0.373,0.475,2010
45,バルディリス,オリックス,0.301,118,434,385,44,116,20,0,14,178,50,1,1,2,6,31,1,10,61,9,0.363,0.462,2010
47,田中　浩康,ヤクルト,0.3,140,637,516,64,155,16,2,4,187,54,4,4,45,3,67,3,6,48,15,0.385,0.362,2010
47,畠山　和洋,ヤクルト,0.3,93,280,243,38,73,17,1,14,134,57,0,0,1,3,28,1,5,38,7,0.38,0.551,2010
49,川端　慎吾,ヤクルト,0.298,59,214,188,22,56,12,1,1,73,21,0,0,6,3,16,3,1,21,7,0.351,0.388,2010
50,浅井　良,阪神,0.297,85,166,148,19,44,8,0,3,61,14,4,3,4,1,11,3,2,42,1,0.352,0.412,2010
51,本多　雄一,ソフトバンク,0.296,144,651,564,88,167,21,10,3,217,39,59,21,50,3,29,1,5,81,8,0.334,0.385,2010
51,ブラゼル,阪神,0.296,143,601,564,82,167,15,0,47,323,117,1,0,0,6,25,0,6,153,14,0.329,0.573,2010
53,片岡　易之,西武,0.295,137,643,576,100,170,31,5,13,250,54,59,12,14,5,43,0,5,72,9,0.347,0.434,2010
53,後藤　光尊,オリックス,0.295,143,632,590,82,174,32,3,16,260,73,2,1,0,2,32,2,8,96,20,0.339,0.441,2010
53,栗原　健太,広島,0.295,105,450,386,62,114,22,0,15,181,65,3,3,0,6,51,2,7,70,10,0.382,0.469,2010
53,福浦　和也,ロッテ,0.295,116,359,322,42,95,19,0,13,153,61,0,0,3,3,28,2,3,47,8,0.354,0.475,2010
53,松本　啓二朗,横浜,0.295,34,54,44,8,13,1,0,2,20,6,1,2,3,0,7,0,0,10,0,0.392,0.455,2010
58,井口　資仁,ロッテ,0.294,143,650,531,88,156,44,1,17,253,103,2,1,0,7,98,1,14,114,13,0.412,0.476,2010
58,荒木　雅博,中日,0.294,136,625,579,65,170,29,5,3,218,39,20,8,5,1,38,1,2,73,8,0.339,0.377,2010
58,石川　雄洋,横浜,0.294,131,584,521,69,153,23,6,0,188,18,36,13,38,1,21,1,3,91,6,0.324,0.361,2010
61,相川　亮二,ヤクルト,0.293,120,474,427,44,125,17,2,11,179,65,2,0,6,7,30,4,4,70,8,0.34,0.419,2010
61,石井　義人,西武,0.293,98,261,222,28,65,8,0,6,91,22,0,0,2,5,31,4,1,35,5,0.375,0.41,2010
63,高山　久,西武,0.291,116,423,382,48,111,23,2,11,171,48,4,2,5,3,25,0,8,100,3,0.344,0.448,2010
63,牧田　明久,楽天,0.291,81,190,182,22,53,15,3,6,92,16,2,0,1,1,4,0,2,26,3,0.312,0.505,2010
63,松井　佑介,中日,0.291,35,56,55,2,16,2,0,0,18,3,0,0,0,0,1,0,0,15,1,0.304,0.327,2010
66,聖澤　諒,楽天,0.29,135,577,517,72,150,25,4,6,201,43,24,6,24,1,32,0,3,96,4,0.335,0.389,2010
66,清田　育宏,ロッテ,0.29,64,223,186,34,54,11,0,2,71,18,5,1,11,1,19,0,6,51,3,0.373,0.382,2010
68,林　威助,阪神,0.289,69,144,135,13,39,10,1,4,63,22,1,0,0,2,6,1,1,24,2,0.319,0.467,2010
69,長野　久義,巨人,0.288,128,459,430,66,124,24,3,19,211,52,12,4,2,0,25,4,2,72,10,0.33,0.491,2010
70,稲葉　篤紀,日本ハム,0.287,137,591,530,68,152,36,4,16,244,79,3,0,1,5,43,1,12,86,5,0.351,0.46,2010
70,松本　哲也,巨人,0.287,94,350,317,49,91,13,2,0,108,22,17,4,12,0,17,0,4,56,4,0.331,0.341,2010
72,下園　辰哉,横浜,0.286,131,461,402,41,115,21,3,3,151,28,1,1,6,2,49,2,2,82,8,0.365,0.376,2010
72,稲田　直人,横浜,0.286,22,24,21,3,6,1,0,0,7,1,0,0,1,0,2,1,0,3,0,0.348,0.333,2010
72,堂上　隼人,ソフトバンク,0.286,7,8,7,0,2,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0.286,0.286,2010
75,赤松　真人,広島,0.285,113,320,291,41,83,12,3,4,113,33,20,4,14,4,8,0,3,48,4,0.307,0.388,2010
76,Ｔ−岡田,オリックス,0.284,129,520,461,70,131,31,2,33,265,96,0,0,0,4,49,1,6,136,11,0.358,0.575,2010
77,坂本　勇人,巨人,0.281,144,676,609,107,171,35,4,31,307,85,14,4,10,7,47,2,3,83,6,0.332,0.504,2010
77,阿部　慎之助,巨人,0.281,140,569,498,85,140,27,2,44,303,92,0,0,1,1,58,3,11,91,8,0.368,0.608,2010
77,倉　義和,広島,0.281,45,105,89,12,25,3,0,2,34,13,1,0,4,0,10,3,2,20,4,0.366,0.382,2010
80,鈴木　尚広,巨人,0.28,61,26,25,15,7,0,0,0,7,4,10,5,0,0,1,0,0,9,1,0.308,0.28,2010
81,小久保　裕紀,ソフトバンク,0.279,112,469,427,60,119,22,0,15,186,68,1,2,1,3,34,0,4,69,4,0.335,0.436,2010
81,日高　剛,オリックス,0.279,79,243,219,18,61,9,0,6,88,24,0,0,4,1,18,1,1,25,8,0.335,0.402,2010
83,鵜久森　淳志,日本ハム,0.278,23,40,36,4,10,0,1,0,12,2,0,0,0,0,2,0,2,15,0,0.35,0.333,2010
83,黒瀬　春樹,西武,0.278,8,19,18,4,5,2,0,0,7,0,0,0,1,0,0,0,0,3,1,0.278,0.389,2010
85,宮本　慎也,ヤクルト,0.276,129,517,468,42,129,22,2,4,167,39,2,2,18,1,27,2,3,31,10,0.319,0.357,2010
86,小田　幸平,中日,0.274,37,95,84,5,23,8,0,0,31,11,0,0,2,2,6,4,1,14,1,0.323,0.369,2010
87,カスティーヨ,横浜,0.273,131,496,466,48,127,24,0,19,208,55,3,3,1,3,22,4,4,71,16,0.309,0.446,2010
87,脇谷　亮太,巨人,0.273,132,459,414,65,113,14,8,7,164,43,28,5,6,1,35,4,3,80,5,0.333,0.396,2010
87,大和,阪神,0.273,62,50,44,19,12,0,1,0,14,4,8,3,1,1,4,0,0,8,1,0.327,0.318,2010
87,細谷　圭,ロッテ,0.273,6,22,22,4,6,1,0,0,7,3,0,0,0,0,0,0,0,7,0,0.273,0.318,2010
91,森本　稀哲,日本ハム,0.272,115,505,408,65,111,11,3,2,134,30,10,3,55,1,36,0,5,71,12,0.338,0.328,2010
92,飯原　誉士,ヤクルト,0.27,130,492,430,62,116,20,3,15,187,48,8,8,5,2,36,0,19,74,10,0.351,0.435,2010
92,オーティズ,ソフトバンク,0.27,117,457,415,63,112,19,0,24,203,81,1,0,1,3,31,1,7,91,8,0.329,0.489,2010
94,荒金　久雄,オリックス,0.269,64,204,175,30,47,16,1,3,74,16,0,1,6,1,14,0,8,49,4,0.348,0.423,2010
