location,year,gende_gap,Fertility_rates
AUS,1975,21.58273381,2.15
AUS,1976,20.75471698,2.06
AUS,1977,18.3908046,2.01
AUS,1978,19.79166667,1.95
AUS,1979,20,1.91
AUS,1980,18.75,1.89
AUS,1981,18.25396825,1.94
AUS,1982,20.81911263,1.93
AUS,1983,19.15584416,1.92
AUS,1984,18.6746988,1.84
AUS,1985,19.60784314,1.92
AUS,1986,18.84816754,1.87
AUS,1987,18.51851852,1.85
AUS,1988,18.79350348,1.83
AUS,1989,18.58974359,1.84
AUS,1990,18.18181818,1.9
AUS,1991,16.015625,1.85
AUS,1992,14.25855513,1.89
AUS,1993,13.22463768,1.86
AUS,1994,14.40972222,1.84
AUS,1995,14.47811448,1.82
AUS,1997,15.25423729,1.8
AUS,1998,13.24200913,1.78
AUS,1999,14.28571429,1.76
AUS,2000,17.2,1.76
AUS,2001,14.34210526,1.76
AUS,2002,15,1.73
AUS,2003,13.04347826,1.77
AUS,2004,14.35294118,1.77
AUS,2005,15.77777778,1.78
AUS,2006,16.66666667,1.85
AUS,2007,15.4,1.88
AUS,2008,11.93737769,1.99
AUS,2009,16.36363636,2.02
AUS,2010,14.04293381,1.97
AUS,2011,15.96638656,1.95
AUS,2012,13.75,1.92
AUS,2013,18,1.93
AUS,2014,15.38461539,1.88
AUS,2015,13,1.79
AUS,2016,11.53846154,1.79
AUS,2017,11.66419019,1.79
AUS,2018,11.71428571,1.74
AUS,2019,14.15787792,1.74
AUS,2020,9.863859826,1.66
CAN,1997,24.70588235,1.58
CAN,1998,24.85549133,1.54
CAN,1999,24,1.51
CAN,2000,23.875,1.49
CAN,2001,24.32457913,1.51
CAN,2002,24.0131579,1.5
CAN,2003,22.50234034,1.53
CAN,2004,22.71794872,1.53
CAN,2005,21.25,1.54
CAN,2006,21.12332112,1.59
CAN,2007,20.80823529,1.66
CAN,2008,20.45454546,1.68
CAN,2009,20.13186813,1.67
CAN,2010,18.97746967,1.63
CAN,2011,19.17553192,1.61
CAN,2012,19.51123128,1.61
CAN,2013,19.30323498,1.59
CAN,2014,19.229,1.58
CAN,2015,18.62745098,1.56
CAN,2016,18.22115385,1.54
CAN,2017,18.17322239,1.5
CAN,2018,18.51851852,1.5
CAN,2019,17.60714286,1.47
JPN,1975,42.38975818,1.91
JPN,1976,39.74175036,1.85
JPN,1977,40.32679739,1.8
JPN,1978,40.5654579,1.79
JPN,1979,41.31319001,1.77
JPN,1980,41.68030551,1.75
JPN,1981,41.95696721,1.74
JPN,1982,42.15925745,1.77
JPN,1983,41.90340909,1.8
JPN,1984,41.9340055,1.81
JPN,1985,41.65927241,1.76
JPN,1986,41.60552439,1.72
JPN,1987,41.22621565,1.69
JPN,1988,41.01821192,1.66
JPN,1989,40.9633758,1.57
JPN,1990,40.59893859,1.54
JPN,1991,39.8989899,1.53
JPN,1992,38.88499299,1.5
JPN,1993,38.45094664,1.46
JPN,1994,37.81597573,1.5
JPN,1995,37.090301,1.42
JPN,1996,36.8473232,1.43
JPN,1997,36.52145431,1.39
JPN,1998,35.307667,1.38
JPN,1999,34.55083909,1.34
JPN,2000,33.85930309,1.36
JPN,2001,33.86467144,1.33
JPN,2002,32.52972259,1.32
JPN,2003,31.99735012,1.29
JPN,2004,31.08739159,1.29
JPN,2005,32.82543889,1.26
JPN,2006,32.98083278,1.32
JPN,2007,31.7423231,1.34
JPN,2008,30.69439785,1.37
JPN,2009,28.28492393,1.37
JPN,2010,28.68430093,1.39
JPN,2011,27.39536493,1.39
JPN,2012,26.52354571,1.41
JPN,2013,26.58757851,1.43
JPN,2014,25.87099,1.42
JPN,2015,25.73179033,1.45
JPN,2016,24.60128945,1.44
JPN,2017,24.51809266,1.43
JPN,2018,23.53736896,1.42
JPN,2019,23.48001344,1.36
KOR,1985,52.77623551,1.66
KOR,1992,46.96548718,1.76
KOR,1993,47.26031779,1.65
KOR,1994,45.50637632,1.66
KOR,1995,44.18220588,1.63
KOR,1996,43.28277957,1.57
KOR,1997,42.21548579,1.54
