﻿LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,1960,2412.764873,
AUS,GDP,TOT,USD_CAP,A,1961,2383.322879,
AUS,GDP,TOT,USD_CAP,A,1962,2577.466847,
AUS,GDP,TOT,USD_CAP,A,1963,2752.750121,
AUS,GDP,TOT,USD_CAP,A,1964,2902.84077,
AUS,GDP,TOT,USD_CAP,A,1965,3002.269627,
AUS,GDP,TOT,USD_CAP,A,1966,3275.956286,
AUS,GDP,TOT,USD_CAP,A,1967,3447.600076,
AUS,GDP,TOT,USD_CAP,A,1968,3833.569009,
AUS,GDP,TOT,USD_CAP,A,1969,4208.470157,
AUS,GDP,TOT,USD_CAP,A,1970,4647.884995,
AUS,GDP,TOT,USD_CAP,A,1971,4859.355514,
AUS,GDP,TOT,USD_CAP,A,1972,5205.906397,
AUS,GDP,TOT,USD_CAP,A,1973,5791.18689,
AUS,GDP,TOT,USD_CAP,A,1974,6240.836577,
AUS,GDP,TOT,USD_CAP,A,1975,6933.807827,
AUS,GDP,TOT,USD_CAP,A,1976,7391.079675,
AUS,GDP,TOT,USD_CAP,A,1977,7721.586926,
AUS,GDP,TOT,USD_CAP,A,1978,8547.13182,
AUS,GDP,TOT,USD_CAP,A,1979,9449.147412,
AUS,GDP,TOT,USD_CAP,A,1980,10470.286937,
AUS,GDP,TOT,USD_CAP,A,1981,11947.245259,
AUS,GDP,TOT,USD_CAP,A,1982,11981.66345,
AUS,GDP,TOT,USD_CAP,A,1983,12767.30554,
AUS,GDP,TOT,USD_CAP,A,1984,13593.136482,
AUS,GDP,TOT,USD_CAP,A,1985,14499.612185,
AUS,GDP,TOT,USD_CAP,A,1986,14983.765347,
AUS,GDP,TOT,USD_CAP,A,1987,16043.861476,
AUS,GDP,TOT,USD_CAP,A,1988,17113.13789,
AUS,GDP,TOT,USD_CAP,A,1989,17819.344946,
AUS,GDP,TOT,USD_CAP,A,1990,17824.885721,
AUS,GDP,TOT,USD_CAP,A,1991,18165.377494,
AUS,GDP,TOT,USD_CAP,A,1992,19136.159001,
AUS,GDP,TOT,USD_CAP,A,1993,20162.394808,
AUS,GDP,TOT,USD_CAP,A,1994,21397.512383,
AUS,GDP,TOT,USD_CAP,A,1995,22405.572327,
AUS,GDP,TOT,USD_CAP,A,1996,23268.405809,
AUS,GDP,TOT,USD_CAP,A,1997,24442.265328,
AUS,GDP,TOT,USD_CAP,A,1998,25671.582448,
AUS,GDP,TOT,USD_CAP,A,1999,27121.296361,
AUS,GDP,TOT,USD_CAP,A,2000,28304.656736,
AUS,GDP,TOT,USD_CAP,A,2001,29561.398865,
AUS,GDP,TOT,USD_CAP,A,2002,30800.452131,
AUS,GDP,TOT,USD_CAP,A,2003,32352.941829,
AUS,GDP,TOT,USD_CAP,A,2004,33962.015143,
AUS,GDP,TOT,USD_CAP,A,2005,35642.418706,
AUS,GDP,TOT,USD_CAP,A,2006,37893.838998,
AUS,GDP,TOT,USD_CAP,A,2007,39658.373846,
AUS,GDP,TOT,USD_CAP,A,2008,40105.110301,
AUS,GDP,TOT,USD_CAP,A,2009,41636.496066,
AUS,GDP,TOT,USD_CAP,A,2010,42809.92706,
AUS,GDP,TOT,USD_CAP,A,2011,44429.559507,
AUS,GDP,TOT,USD_CAP,A,2012,43883.378891,
AUS,GDP,TOT,USD_CAP,A,2013,47761.901259,
AUS,GDP,TOT,USD_CAP,A,2014,47603.880878,
AUS,GDP,TOT,USD_CAP,A,2015,47232.62912,
AUS,GDP,TOT,USD_CAP,A,2016,50150.652199,
AUS,GDP,TOT,USD_CAP,A,2017,50699.175108,
AUS,GDP,TOT,USD_CAP,A,2018,52980.734327,
AUS,GDP,TOT,USD_CAP,A,2019,52669.473903,
AUS,GDP,TOT,USD_CAP,A,2020,55635.462558,
AUS,GDP,TOT,USD_CAP,A,2021,60575.496978,E
AUT,GDP,TOT,USD_CAP,A,1970,3827.4696,E
AUT,GDP,TOT,USD_CAP,A,1971,4207.954197,E
AUT,GDP,TOT,USD_CAP,A,1972,4635.794493,E
AUT,GDP,TOT,USD_CAP,A,1973,5100.415556,E
AUT,GDP,TOT,USD_CAP,A,1974,5768.748958,E
AUT,GDP,TOT,USD_CAP,A,1975,6296.822115,E
AUT,GDP,TOT,USD_CAP,A,1976,6959.364576,E
AUT,GDP,TOT,USD_CAP,A,1977,7764.295103,E
AUT,GDP,TOT,USD_CAP,A,1978,8299.632824,E
AUT,GDP,TOT,USD_CAP,A,1979,9485.84459,E
AUT,GDP,TOT,USD_CAP,A,1980,10521.779488,E
AUT,GDP,TOT,USD_CAP,A,1981,11471.454965,E
AUT,GDP,TOT,USD_CAP,A,1982,12416.259069,E
AUT,GDP,TOT,USD_CAP,A,1983,13307.67029,E
AUT,GDP,TOT,USD_CAP,A,1984,13795.709885,E
AUT,GDP,TOT,USD_CAP,A,1985,14580.758004,E
AUT,GDP,TOT,USD_CAP,A,1986,15207.04947,E
AUT,GDP,TOT,USD_CAP,A,1987,15784.587381,E
AUT,GDP,TOT,USD_CAP,A,1988,16856.088262,E
AUT,GDP,TOT,USD_CAP,A,1989,18116.00377,E
AUT,GDP,TOT,USD_CAP,A,1990,19462.00202,E
AUT,GDP,TOT,USD_CAP,A,1991,20605.858411,E
AUT,GDP,TOT,USD_CAP,A,1992,21281.163537,E
AUT,GDP,TOT,USD_CAP,A,1993,21720.516419,E
AUT,GDP,TOT,USD_CAP,A,1994,22629.969517,E
AUT,GDP,TOT,USD_CAP,A,1995,23684.631137,
AUT,GDP,TOT,USD_CAP,A,1996,24553.847293,
AUT,GDP,TOT,USD_CAP,A,1997,25426.720108,
AUT,GDP,TOT,USD_CAP,A,1998,26675.030467,
AUT,GDP,TOT,USD_CAP,A,1999,27606.484243,
AUT,GDP,TOT,USD_CAP,A,2000,29376.007114,
AUT,GDP,TOT,USD_CAP,A,2001,29702.787329,
AUT,GDP,TOT,USD_CAP,A,2002,31178.051444,
AUT,GDP,TOT,USD_CAP,A,2003,32156.836376,
AUT,GDP,TOT,USD_CAP,A,2004,33784.254235,
AUT,GDP,TOT,USD_CAP,A,2005,35024.557484,
AUT,GDP,TOT,USD_CAP,A,2006,37665.32274,
AUT,GDP,TOT,USD_CAP,A,2007,39432.047401,
AUT,GDP,TOT,USD_CAP,A,2008,41316.022642,
AUT,GDP,TOT,USD_CAP,A,2009,40927.134687,
AUT,GDP,TOT,USD_CAP,A,2010,42021.154209,
AUT,GDP,TOT,USD_CAP,A,2011,44469.209642,
AUT,GDP,TOT,USD_CAP,A,2012,46477.655075,
AUT,GDP,TOT,USD_CAP,A,2013,47936.677963,
AUT,GDP,TOT,USD_CAP,A,2014,48813.534409,
AUT,GDP,TOT,USD_CAP,A,2015,49942.056293,
AUT,GDP,TOT,USD_CAP,A,2016,52665.087457,
AUT,GDP,TOT,USD_CAP,A,2017,54188.360666,
AUT,GDP,TOT,USD_CAP,A,2018,56978.264771,
AUT,GDP,TOT,USD_CAP,A,2019,58091.272285,
AUT,GDP,TOT,USD_CAP,A,2020,55686.067736,
AUT,GDP,TOT,USD_CAP,A,2021,59393.011339,
BEL,GDP,TOT,USD_CAP,A,1970,3874.078284,E
BEL,GDP,TOT,USD_CAP,A,1971,4207.946256,E
BEL,GDP,TOT,USD_CAP,A,1972,4603.427342,E
BEL,GDP,TOT,USD_CAP,A,1973,5137.625399,E
BEL,GDP,TOT,USD_CAP,A,1974,5817.200595,E
BEL,GDP,TOT,USD_CAP,A,1975,6254.392799,E
BEL,GDP,TOT,USD_CAP,A,1976,6960.228896,E
BEL,GDP,TOT,USD_CAP,A,1977,7430.650778,E
BEL,GDP,TOT,USD_CAP,A,1978,8172.679401,E
BEL,GDP,TOT,USD_CAP,A,1979,9051.485878,E
BEL,GDP,TOT,USD_CAP,A,1980,10300.72909,E
BEL,GDP,TOT,USD_CAP,A,1981,11235.921327,E
BEL,GDP,TOT,USD_CAP,A,1982,11991.353912,E
BEL,GDP,TOT,USD_CAP,A,1983,12493.55416,E
BEL,GDP,TOT,USD_CAP,A,1984,13262.194417,E
BEL,GDP,TOT,USD_CAP,A,1985,13904.774282,E
BEL,GDP,TOT,USD_CAP,A,1986,14440.427947,E
BEL,GDP,TOT,USD_CAP,A,1987,15121.968238,E
BEL,GDP,TOT,USD_CAP,A,1988,16338.53763,E
BEL,GDP,TOT,USD_CAP,A,1989,17504.470426,E
BEL,GDP,TOT,USD_CAP,A,1990,18676.853014,E
BEL,GDP,TOT,USD_CAP,A,1991,19587.725699,E
BEL,GDP,TOT,USD_CAP,A,1992,20257.758736,E
BEL,GDP,TOT,USD_CAP,A,1993,20459.046642,E
BEL,GDP,TOT,USD_CAP,A,1994,21506.271256,E
BEL,GDP,TOT,USD_CAP,A,1995,22434.291135,
BEL,GDP,TOT,USD_CAP,A,1996,22737.627302,
BEL,GDP,TOT,USD_CAP,A,1997,23732.844169,
BEL,GDP,TOT,USD_CAP,A,1998,24368.935554,
BEL,GDP,TOT,USD_CAP,A,1999,25441.891387,
BEL,GDP,TOT,USD_CAP,A,2000,27785.247413,
BEL,GDP,TOT,USD_CAP,A,2001,28786.875003,
BEL,GDP,TOT,USD_CAP,A,2002,30281.667989,
BEL,GDP,TOT,USD_CAP,A,2003,30933.261931,
BEL,GDP,TOT,USD_CAP,A,2004,32063.504441,
BEL,GDP,TOT,USD_CAP,A,2005,33176.680884,
BEL,GDP,TOT,USD_CAP,A,2006,35259.055109,
BEL,GDP,TOT,USD_CAP,A,2007,36790.154396,
BEL,GDP,TOT,USD_CAP,A,2008,37883.233422,
BEL,GDP,TOT,USD_CAP,A,2009,37751.245094,
BEL,GDP,TOT,USD_CAP,A,2010,39838.570162,
BEL,GDP,TOT,USD_CAP,A,2011,40943.343479,
BEL,GDP,TOT,USD_CAP,A,2012,42290.477674,
BEL,GDP,TOT,USD_CAP,A,2013,43672.712292,
BEL,GDP,TOT,USD_CAP,A,2014,44929.933328,
BEL,GDP,TOT,USD_CAP,A,2015,46201.685891,
